Season,Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
2010,White Sox,13017,-4,4,2,3,-13,-3,-46,0,-56,2384,1905,0.799,427,-1,2.2,-9.6,2.8,-31.3,-3.7,-41.8,-6.9,-37.5
2007,Marlins,12993,0,-3,3,2,10,-10,-74,,-71,2388,1903,0.797,374,,,6.9,5,-42.2,-13.8,-44,-4.4,-38
2009,Nationals,12819,0,-1,0,0,0,-22,-14,,-36,2368,1945,0.821,508,-15,-1.3,0.9,2,-19.1,-20.2,-36.4,-4.1,-38.2
2011,Indians,13080,-31,0,2,-4,5,-15,0,3,-29,2372,1996,0.841,474,-2,-49.1,-2.5,-5.8,-30.5,-3.4,-42.2,-6.2,-38.8
2010,Red Sox,13110,-16,-3,-5,0,9,-2,22,4,0,2285,1894,0.829,414,-1,-2.1,-0.9,1.6,-15.8,-3.7,-18.8,-2.5,-39.4
2007,Yankees,13056,0,0,-6,12,11,-8,-16,,-16,2515,2086,0.829,330,,,9.1,5.6,-39.6,-0.5,-25.4,-1.1,-39.4
2008,Yankees,12975,0,-3,2,-1,9,8,-55,,-41,2409,1968,0.817,356,,27.9,4.9,-3.3,-47.6,3.5,-42.5,-5.1,-39.7
2014,Astros,12948,9,-3,-3,2,-1,7,-6,14,6,2166,1712,0.79,643,-25,9.7,-11.6,0.2,-21.6,-16.1,-49.2,-9.2,-39.7
2007,White Sox,12966,0,4,-1,1,-6,-8,-56,,-63,2523,2030,0.805,319,,,-11,-3.5,-19.4,-4.9,-38.8,-7,-39.8
2016,Athletics,12900,-15,3,-5,1,-8,-10,-40,-2,-70,2215,1770,0.799,544,-47,-19.4,-7.6,-1.6,-24.9,-2.7,-36.8,-5.9,-39.8
2016,Cardinals,13035,-3,4,-5,3,-10,-2,-5,6,-10,2113,1716,0.812,543,-29,8,-10.5,1.8,-21.7,-3.9,-34.3,-5.9,-40.3
2008,Padres,13125,0,-1,-1,-1,-10,-4,11,,-15,2274,1905,0.838,434,,-5.4,-13.9,-1.2,-22.8,13.1,-24.8,-6,-41
2007,Mariners,12909,0,-8,0,2,2,-11,-36,,-46,2450,1966,0.802,395,,,5.1,1.5,-62.1,2.4,-53.1,-6.1,-41.1
2017,Astros,13014,9,-4,-6,7,10,1,3,14,20,1855,1463,0.789,559,2,11.9,6.1,0.8,-32.2,-4.3,-29.6,-3.6,-41.6
2016,Brewers,12909,4,-5,5,-3,1,-4,-3,34,24,2084,1675,0.804,609,-15,4.8,0.2,-3.1,-28.9,-19.6,-51.4,-7.8,-42.4
2017,Athletics,12879,1,1,-4,-4,-10,-5,-26,3,-49,2219,1832,0.826,497,-37,0.2,-15,-3,-11.4,-6,-35.4,-6.7,-42.4
2013,Angels,13119,-5,-2,-5,-2,-9,-15,-40,-2,-86,2290,1865,0.814,469,-1,-6.9,-9.1,-4.4,-10.7,-5.7,-29.9,-5.7,-43.1
2013,Phillies,12927,-1,-1,-3,-1,4,5,-79,-13,-93,2209,1810,0.819,449,-23,-7.2,-1.8,-3.2,-35.3,-1.4,-41.7,-5.9,-43.4
2018,Mets,13146,-9,-1,-6,3,-3,2,-49,-2,-69,1970,1589,0.807,551,-30,-9,-3.8,2.1,-30.6,0.3,-32.1,-5,-44.1
2009,Indians,12906,0,-4,-5,3,-4,-5,-6,,-19,2376,1956,0.823,476,-11,-20.8,-9.5,2.8,-21.1,-3.8,-31.6,-5.2,-44.4
