Season,Team,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
2008,Cubs,13056,0,3,-3,-3,0,-10,-4,,-19,2112,1761,0.834,427,,-6.8,2.2,2.1,29.8,-3.7,30.3,5.1,33
2009,Tigers,13023,0,-3,5,1,9,9,3,,25,2246,1890,0.841,471,41,-33.8,5.9,-0.2,18.3,2.6,26.5,4.6,32.6
2016,Giants,13143,10,1,2,1,-3,1,43,14,75,2081,1730,0.831,543,51,25.5,-5.1,2.1,18.2,11.3,26.4,2.5,32.4
2016,Royals,12960,-12,1,4,-3,8,5,2,-4,10,2172,1760,0.81,510,38,-19.1,3.7,-3,11.3,9.2,21.2,2.9,32.2
2009,Phillies,13101,0,3,-1,1,12,10,-20,,7,2274,1917,0.843,369,47,9.5,13.5,-1,5,9.4,26.9,5.9,31.7
2009,Rangers,12912,0,-1,4,6,-9,1,20,,19,2315,1967,0.85,445,20,8.9,-6,4,28.4,0.5,26.9,2.8,31.2
2006,Giants,12867,0,0,-3,-3,-14,15,30,,32,2424,2053,0.847,351,,,-7.1,-4,36.3,5.8,31.1,2.2,31.1
2009,Pirates,12765,0,0,0,3,4,6,33,,45,2260,1878,0.831,538,2,-38.5,3.3,-2.2,10.1,18.4,29.7,4.2,31
2019,Diamondbacks,13185,3,-1,3,4,5,8,51,38,112,1859,1526,0.821,681,,5.1,9.7,0.2,7.9,3.2,21,4.7,31
2011,Red Sox,13116,7,0,0,-2,-7,-8,38,-1,18,2169,1830,0.844,489,16,-5,-3.5,0.1,42.1,5.3,44,5.3,30.4
2007,Giants,13083,0,3,2,-1,-5,-7,10,,2,2440,2026,0.83,388,,,-5.6,-0.8,20.8,12.7,27.2,2.5,30.2
2008,Blue Jays,13020,0,0,1,-3,7,5,41,,54,2288,1922,0.84,417,,8.8,2.9,-2.3,13.3,7.9,21.8,3.4,30.1
2018,Brewers,13149,6,1,2,1,0,5,71,18,107,1845,1512,0.82,607,0,7.1,-0.9,3.6,36.9,-14.6,24.9,4,29.9
2010,Athletics,12885,-1,5,-2,6,-8,10,56,0,73,2258,1913,0.847,418,32,-5.8,-6,7.8,17.2,6,25,2.6,29.7
2008,Brewers,13101,0,4,6,-5,-1,1,32,,44,2290,1898,0.829,454,,-2.8,-1,-2.7,24.3,-4.6,15.9,1.6,29.5
2018,Cubs,13287,-10,3,3,6,14,11,15,3,52,2094,1755,0.838,540,25,-19.9,14.2,4.9,-5.9,10.2,23.4,6.2,29.4
2017,Marlins,12984,-12,-7,2,3,-5,9,-1,11,13,2110,1712,0.811,557,3,2.2,-2.5,4.2,13.5,9.7,24.9,3.3,27.9
2012,Reds,13077,24,-1,3,-3,4,8,22,6,63,2171,1819,0.838,439,34,19.8,2.6,-2.5,4.8,5,9.9,1.5,27.8
2019,Royals,12825,-4,2,3,0,-4,6,4,-2,5,2137,1706,0.798,598,,-3.7,-2.4,3.8,0.7,18.2,20.3,2.3,27.3
2017,Dodgers,13002,25,1,4,1,0,2,16,22,59,1764,1453,0.824,513,19,25.9,2.2,3.1,21.7,-4.4,22.7,4.4,26.7
2016,Indians,13005,-3,2,3,-5,8,-3,11,22,41,2063,1711,0.829,534,7,7.5,4.5,1.5,17.3,-2.9,20.4,3.9,26.4
2018,Red Sox,13128,15,4,-2,-5,9,-3,-48,13,-18,1884,1533,0.814,556,7,22.8,19.1,-0.2,0.3,6.2,25.3,6.7,26.3
2012,Phillies,13062,10,-3,4,-2,11,12,-26,1,10,2081,1732,0.832,388,11,1.4,7.9,2.3,4.9,-1.6,13.5,3.7,26
2019,Angels,12984,-5,-1,-2,0,-7,-7,25,8,9,1991,1624,0.816,574,,-5,6.7,0.7,8.4,11,26.8,4.3,25.8
2013,Reds,13263,-3,0,0,-6,-1,1,25,11,28,2140,1822,0.851,477,18,-8.8,1.9,-2.7,22,2.6,23.8,3.5,25.6
2012,Red Sox,12987,12,-2,-3,6,1,4,49,7,64,2199,1857,0.844,494,-17,6.2,-3.4,7.9,12.2,13.9,30.6,3.6,25.4
2012,Cubs,12723,-9,1,-3,0,-10,-9,20,5,-8,2148,1773,0.825,466,-9,2.3,-5.7,-1,34,2,29.3,2.8,24.8
2012,White Sox,13011,-2,2,6,4,1,-9,1,0,7,2143,1807,0.843,476,-1,3.5,-1.4,5.6,1.4,12.1,17.7,2.8,24.2
2013,Yankees,13026,15,-4,2,-4,2,5,-7,15,24,2170,1765,0.813,561,1,25.6,3.3,-2.2,5.3,8.7,15.1,2.3,24.1
2018,Braves,13110,1,1,-1,-1,1,-3,67,8,67,1875,1554,0.829,604,23,1.5,-4,-3,28.6,6.3,27.9,2.6,23.9
2018,Indians,13116,13,2,-3,-2,2,2,4,15,29,1958,1618,0.826,514,19,8.1,11.5,-1.3,11.9,5.4,27.5,6.1,23.5
2017,Cubs,13026,-10,-2,3,0,-2,-2,28,20,36,1967,1627,0.827,462,23,-10.5,4.3,-2.7,19.4,3.5,24.5,3.9,23.5
2015,Twins,12987,-16,4,-3,-7,15,6,-30,-2,-38,2340,1932,0.826,472,-16,-13.7,19.4,-1.2,5.3,6.5,30,6.4,23
2016,Phillies,12933,-11,-1,0,-1,6,-9,-10,8,-11,2012,1670,0.83,507,-20,-11.3,-3.7,1.1,23.3,1,21.6,2.2,22.6
2011,Yankees,13125,24,1,0,0,6,6,-9,-1,19,2209,1834,0.83,512,16,33.4,7.3,1.2,16.9,-1.5,23.8,4.6,22.4
2013,Diamondbacks,13455,6,-4,-1,-2,11,-5,61,-5,69,2190,1833,0.837,559,44,8.6,10.9,-1,-2.2,16.1,23.8,4.8,22.4
2006,Cubs,12951,0,0,-4,-6,-7,-7,13,,-16,2223,1862,0.838,337,,,-11.3,-1.9,47.2,-2.8,31.2,2.1,22.2
2006,Mets,13152,0,-5,1,-3,3,4,35,,32,2368,1984,0.838,326,,,-1.1,-1.9,19.8,7.5,24.2,2.8,22.2
2007,Red Sox,12948,0,-2,-2,2,-8,13,6,,2,2418,1995,0.825,328,,,-6.4,-0.1,32.8,2.9,29.1,2.4,22.1
2014,Angels,13344,13,-1,-2,3,-4,5,-5,-10,-9,2219,1845,0.831,431,15,9.7,-5.2,3.6,13.2,12.6,24.2,2.8,21.9
2017,Rays,13005,12,-1,-1,0,6,-9,59,35,88,1983,1597,0.805,615,-1,0.4,0.3,-2.2,32.7,-7.9,22.8,3.1,21.8
2007,Twins,12930,0,3,-2,0,2,9,10,,27,2453,2004,0.817,358,,,-4.2,-3.9,26.1,-0.7,17.3,1.2,21.3
2017,Reds,12870,-20,7,6,0,17,8,15,6,52,2039,1646,0.807,537,14,-17.1,10.9,3.5,-4.5,2,11.9,4,20.9
2018,Rangers,12879,-17,-3,-2,1,-1,-3,22,7,3,2180,1783,0.818,557,-10,-23.8,8.4,2,12.7,2.6,25.6,4,20.6
2008,Giants,12978,0,0,3,-4,-4,-9,-19,,-33,2202,1854,0.842,398,,0.4,0.9,-3.9,35.1,-8.9,23.3,2.9,20.1
2011,Padres,13044,-13,0,-2,-4,-3,8,36,5,32,2093,1774,0.848,479,-7,-15.7,-4.1,-4.8,25.2,5.7,22,1.8,20
2013,Red Sox,13086,8,-1,-3,-2,6,5,15,8,22,2084,1731,0.831,519,20,2,-2.2,-2.7,21.4,8.2,24.7,2.6,19.4
2016,Dodgers,13077,13,1,0,-8,-2,-8,37,18,56,1877,1529,0.815,532,16,26.5,-6.7,-5.7,22.1,8.5,18.3,0.1,19.3
2013,Brewers,12984,26,-3,-1,-1,12,7,-6,19,44,2180,1786,0.819,589,3,44,10.8,1.5,18.9,-16.6,14.7,4.3,19.2
2018,Marlins,12978,1,-4,3,-2,-8,-10,14,25,29,1982,1631,0.823,624,-20,5.3,-4.5,0.4,8.1,4,8.1,0.4,19.1
2014,Braves,13095,-9,1,-2,4,0,-8,1,-5,-14,2157,1738,0.806,498,-6,-18.7,-1.4,6.5,19.8,-0.6,24.2,3.6,19.1
2006,Orioles,12771,0,-2,8,3,8,-7,-22,,-13,2474,2063,0.834,339,,,3.8,-0.8,-2.6,4.5,4.8,1.1,18.8
2008,Indians,12933,0,-2,-1,12,9,3,2,,24,2462,2036,0.827,427,,-2.4,5.2,4.7,5.3,4.8,20,3.9,18.7
2015,Rangers,12984,-4,2,-2,-2,5,2,-25,11,-12,2326,1896,0.815,526,12,-5.1,11.9,0.5,17.1,-9,20.5,4.2,18.5
2013,Marlins,13140,-14,0,1,1,-6,-10,16,-4,-10,2198,1857,0.845,522,-5,-14.9,-1,4.2,4.3,9.5,16.9,2.6,18.3
2015,Blue Jays,12969,2,0,5,7,1,-4,-18,22,25,2236,1857,0.831,517,21,6.9,-8,-1.2,15.4,3.5,9.7,-0.4,17.7
2013,Braves,13053,4,2,1,3,-7,-10,43,-3,38,2192,1843,0.841,468,-13,4.2,-6,4.3,6.9,4.6,9.8,0.2,17.2
2017,Cardinals,13053,7,-1,3,-7,6,0,-5,18,24,2115,1749,0.827,464,-13,2.4,0.9,2.6,2.2,2.2,7.9,1.3,16.9
2020,Rays,4749,-4,1,1,0,11,1,12,-2,24,653,525,0.804,254,,-2.9,11,1.6,5.3,-3.1,14.8,10.6,16.8
2007,Angels,12915,0,-1,-1,5,-2,-1,-12,,-13,2406,1962,0.815,374,,,2.3,1.9,17.1,-2.5,18.8,3.2,16.8
2007,Mets,13071,0,1,-1,-4,-11,-1,44,,18,2327,1956,0.841,393,,,-5.3,0.8,23.6,1.6,20.7,1.8,16.7
2013,Cubs,13032,-14,5,5,0,-2,-2,0,8,-2,2117,1800,0.85,517,-13,-21,-0.7,0.3,15.8,-5.1,10.3,1.4,16.4
2020,Padres,4683,2,-3,1,-3,-2,-4,17,-4,3,615,510,0.829,225,,-0.4,-0.8,-1.2,1.6,14.6,14.2,3.6,16.2
2015,Angels,12966,9,0,2,-2,6,7,-6,-21,-1,2153,1784,0.829,485,6,3.8,9.3,-2.9,4.1,1.5,12,2.6,16
2014,Nationals,13236,1,-1,7,7,1,6,-4,-14,17,2216,1825,0.824,431,25,-5.6,5.8,9.7,-9.1,-4.3,2.2,2.4,15.9
2020,Cubs,4665,2,-1,2,2,4,5,1,5,23,646,533,0.825,244,,2.5,2.3,-0.8,4.1,5.3,10.8,5.6,15.8
2018,Diamondbacks,13167,27,-1,0,2,-11,17,92,25,148,1963,1631,0.831,598,21,27.6,-15.8,-2.1,23.5,7.1,12.7,-1.6,15.7
2020,Rockies,4737,-1,1,-1,2,-5,4,20,-2,15,805,639,0.794,257,,-2.3,0.5,2.3,7.7,6.1,16.6,4.1,15.6
2020,Athletics,4638,2,0,0,-3,2,1,-14,-8,-19,700,568,0.811,223,,1.6,1.6,-0.8,3.2,11.6,15.6,5.3,15.6
2015,Cardinals,13182,-3,5,0,0,-9,-3,22,-14,2,2148,1753,0.816,500,15,6.3,-3.1,1.1,10.5,3.6,12.1,1,15.1
2015,Rays,13080,2,-6,2,-2,8,6,4,14,14,2016,1633,0.81,609,17,3.6,10.6,-0.4,12.5,-7.7,15,3.9,15
2017,Indians,12966,9,-1,4,5,7,16,-6,18,59,1827,1524,0.834,440,36,13.1,3.6,3.6,-10.6,8.2,4.9,1.8,14.9
2015,Giants,12999,8,1,-5,5,-3,5,18,-2,30,2229,1853,0.831,514,39,9.8,-5.2,3.8,15.6,7.7,21.8,2.1,14.8
2019,Red Sox,13239,10,0,1,-8,13,-5,-42,2,-28,1934,1598,0.826,502,,14.1,15,-5.9,-3.8,5.5,10.8,3.3,14.8
2016,Astros,13212,10,0,3,7,20,5,19,17,77,1998,1589,0.795,672,24,18.4,20.4,-2.5,-2.1,-5.1,10.7,5.1,14.7
2011,Giants,13212,30,1,6,1,1,-8,-1,1,29,2045,1732,0.847,501,-9,28.2,0.8,0.5,1.7,2,5,0.9,14.5
2017,Rockies,12939,-27,-2,2,4,-14,8,18,-8,-1,2118,1690,0.798,541,23,-9.6,-12.7,4.4,2.6,14.2,8.5,-0.8,14.5
2013,Giants,13026,9,4,0,-3,1,-8,10,-2,5,2079,1741,0.837,502,24,19.7,3.6,0.7,16,-5.7,14.7,2.7,14.3
2010,Nationals,12915,15,-3,2,-7,0,-6,8,-3,-2,2302,1895,0.823,444,2,15.8,-5.5,-5.6,26.7,-14,1.6,-1.2,14.2
2020,Indians,4824,3,0,3,2,-3,-1,22,-1,27,616,514,0.834,216,,1.9,0.9,2.9,-0.4,4.7,8.1,3,14.1
2017,Twins,12924,3,6,1,-6,2,-5,34,-2,29,2180,1791,0.822,606,10,6.4,-0.3,-7.7,11,12,15.1,1,14.1
2020,Cardinals,4257,-1,-1,1,1,4,3,17,9,33,639,536,0.839,188,,0.1,0.3,1.5,8.2,3.2,13.1,4.4,14.1
2013,Dodgers,13053,-11,2,5,-2,-1,0,32,-14,20,2060,1741,0.845,477,8,-3.9,1.2,-3.1,17.6,-10.2,5.5,0.8,13.2
2015,Diamondbacks,13200,-12,-4,-3,4,-2,8,68,-1,60,2185,1798,0.823,594,12,-14.5,-4.7,-0.7,19.7,2.8,17.1,1.3,13.1
2015,Indians,12894,-3,0,2,-1,0,2,-5,16,15,2005,1680,0.838,495,-7,0,-0.4,2.3,5.7,3.4,10.9,1.8,12.9
2010,Rangers,13098,-6,-2,-4,-1,-8,2,5,1,-21,2268,1894,0.835,442,10,-5,1.7,-4.7,32.8,-4.3,25.5,3.3,12.6
2015,Tigers,13023,-15,-1,0,9,4,1,-17,7,-4,2217,1790,0.807,541,13,-24.1,11.2,6.7,-10.1,-0.3,7.5,3.4,12.5
2016,Rangers,12987,1,-5,2,4,0,-2,-12,17,2,2227,1780,0.799,595,13,-11.3,3.3,7.4,6.5,-5.9,11.4,2.2,12.4
2015,Braves,12828,-15,-1,0,6,-13,-8,-9,-20,-51,2215,1793,0.809,484,-17,-18.7,-5.1,8.4,3.6,1.1,8,0.7,12
2007,Cardinals,12921,0,3,4,-3,-1,8,29,,48,2476,2020,0.816,430,,,-0.6,-3.1,23.1,-17.7,1.8,0,11.8
2006,Athletics,13065,0,4,6,6,3,1,-21,,4,2504,2068,0.826,350,,,-4.7,-2.2,-2.2,12.8,3.6,-0.4,11.6
2007,Nationals,13020,0,-4,1,3,-9,-3,-7,,-14,2492,2049,0.822,383,,,-8.3,4,21.1,-10.4,6.3,0,11.3
2012,Dodgers,13047,-12,2,0,-8,5,2,3,1,-6,2107,1795,0.852,393,-16,-11.8,4.9,-5.2,5.7,1.5,6.9,1.5,11.3
2015,Orioles,12912,-4,4,0,4,15,16,-27,0,6,2104,1701,0.808,546,18,-2.3,13.1,4.1,-14.2,8.3,11.3,3.9,11.3
2011,Brewers,12975,29,0,-6,6,-8,1,18,0,32,2150,1789,0.832,511,-62,38.5,-8.7,2.1,36,-11.3,18.1,1.1,11.1
2018,Cardinals,13098,-5,-2,-3,-3,-7,-8,40,11,22,2046,1659,0.811,548,3,-1.2,-2.1,3.7,26,-14.6,13,1.6,11
2006,Padres,13173,0,1,-6,-3,-9,-2,61,,27,2378,2009,0.845,363,,,-9.2,-1.4,33.1,8.4,30.9,1.8,10.9
2006,Blue Jays,12855,0,-2,-6,3,19,-1,32,,39,2355,1946,0.826,386,,,15.3,0.5,16,-6.2,25.5,6.7,10.5
2015,Marlins,12843,-7,6,-2,4,3,-3,31,-10,18,2188,1817,0.83,485,28,-17.3,0.5,5.9,-7.7,15.6,14.3,2.4,10.3
2014,Rangers,12837,-7,-1,1,3,5,-8,-46,8,-43,2215,1791,0.809,502,15,-10.4,5,4.2,3.5,-1.8,10.9,2.4,10.3
2019,Astros,13161,-1,-2,-2,-4,-1,27,70,15,96,1760,1432,0.814,651,,-0.2,-0.9,-5.5,17.2,4.1,14.9,1.6,9.9
2015,Dodgers,13011,2,-3,-2,-7,8,6,-2,-10,-1,2044,1692,0.828,467,2,19.3,4.9,-3.3,-9.4,13.4,5.6,1.8,9.6
2014,Yankees,13077,14,1,0,-4,-4,-4,-7,13,7,2105,1705,0.81,547,-13,20.1,-1.3,-6.6,16.3,-6.3,2,-0.8,9.2
2019,Cubs,12978,-2,1,0,6,4,3,-9,-12,-14,2022,1642,0.812,510,,-8.3,0.7,6.4,-2.7,7.5,11.9,1.8,8.9
2012,Athletics,13230,-12,-2,3,-2,11,4,-6,2,6,2254,1881,0.835,486,4,-12,9.8,1.5,4,-14.5,0.8,1.8,8.9
2009,Cubs,13008,0,1,6,-2,-2,-14,-8,,-23,2147,1799,0.838,385,-27,-6.9,-4.6,-3.6,8.3,-0.2,-0.2,-1.3,8.8
2010,Cardinals,13083,6,6,5,1,-2,8,18,1,53,2408,1958,0.813,451,18,24,-7.5,4.3,-7,0.1,-10,-2.4,8.8
2012,Giants,13059,16,-1,3,-1,-2,-6,12,2,11,2206,1821,0.825,489,25,18.4,-0.5,-1.9,14.7,-5.9,6.4,0.7,8.7
2010,Mariners,12942,-10,1,0,-1,-5,0,14,-2,2,2471,2078,0.841,453,4,-28.2,-7.7,-0.4,30.5,-7.2,15.3,0.5,8.7
2017,Yankees,13038,5,0,0,-9,1,-4,26,9,24,1893,1533,0.81,574,4,0.5,-1.8,-6.2,16.3,0.2,8.5,0.2,8.5
2009,Angels,13005,0,1,-4,7,9,15,28,,51,2267,1896,0.836,490,19,-0.9,2.4,10.9,-7.5,9.2,15.1,2.8,8.3
2017,Mariners,12963,-5,4,1,11,12,-3,-24,6,3,2103,1688,0.803,570,20,3,12.6,8.4,0.5,-11.4,10.1,4.1,8.1
2006,Angels,13074,0,1,5,5,12,-4,-23,,-2,2434,1983,0.815,354,,,6.3,-1.8,6.8,-12.3,-1,1.1,8
2007,Blue Jays,13038,0,6,-7,3,7,10,69,,81,2436,2048,0.841,382,,,3.5,-3.1,21.8,2.7,24.9,3.9,7.9
2007,Brewers,12999,0,0,-7,4,-3,13,-15,,-8,2372,1898,0.8,394,,,1,-0.4,21,-7.2,14.4,2.1,7.4
2020,Brewers,4656,2,1,2,-2,-2,2,-20,4,-14,553,438,0.792,239,,5.8,-2.9,-1,0.6,-3.1,-6.4,-4.5,7.3
2020,White Sox,4743,10,1,2,1,1,-7,18,-5,23,667,534,0.801,251,,6.3,0.6,-0.4,5.1,-3,2.2,1.2,7.2
2017,Giants,13068,-2,-1,1,-2,-9,-6,-20,-2,-37,2190,1795,0.82,477,4,-1.3,-6.6,-1.6,3.8,6.6,2.2,-1,7.2
2013,Twins,13053,-28,2,3,0,10,9,-59,10,-43,2367,1989,0.84,463,-15,-24.2,9.7,0.9,-16.3,6.5,0.8,1.5,7.1
2020,Twins,4620,0,1,1,1,7,2,8,2,22,595,481,0.808,249,,-2,0,-0.6,4.2,1.4,4.9,2.4,6.9
2016,Yankees,12855,3,0,-4,-7,3,-1,9,18,14,2012,1620,0.805,533,3,0,5.8,-5.7,8.9,3.7,12.6,2.3,6.6
2015,Cubs,13152,13,0,2,-5,-3,0,3,8,6,2048,1685,0.823,457,4,11,6.8,-4.7,21.7,-11.1,12.6,3,6.6
2016,Reds,12978,-16,-6,3,-3,1,10,-22,14,-14,2151,1779,0.827,486,5,-19.8,-0.8,-6.8,14.1,-5.3,1.2,-0.5,6.2
2018,Tigers,12828,1,-3,0,2,-2,-13,7,30,20,1995,1635,0.82,621,-18,-7.1,0.7,-2.3,9.4,-2.7,5,0.5,6
2006,Cardinals,12867,0,2,3,3,-13,12,46,,55,2373,1975,0.832,439,,,-6.5,5.4,0.1,-0.1,-1,-0.9,6
2009,Astros,12870,0,0,2,4,11,12,-33,,4,2276,1861,0.818,438,3,1,12.7,2.7,-28.8,9.1,-4.3,1.6,5.5
2012,Mariners,13110,-22,-3,1,7,-1,-1,20,1,3,2185,1830,0.838,508,12,-26.4,-5.2,7,5,11.9,18.7,2.1,5.4
2006,Brewers,12831,0,3,-1,-6,-12,-2,21,,-3,2219,1817,0.819,418,,,-6.7,-2.8,22.8,-6.3,6.9,-0.6,4.9
2008,Angels,13062,0,0,-4,7,-10,16,-15,,-10,2354,1947,0.827,417,,1.4,-0.9,3,3.2,3.9,9.2,1.3,4.8
2008,Orioles,12798,0,2,-2,-3,16,2,-32,,-22,2537,2078,0.819,403,,3.3,12.2,-5.1,0.4,3.5,10.9,2.8,4
2011,Royals,13062,-16,0,4,-7,19,8,-1,5,16,2312,1939,0.839,453,5,-11.6,19.3,-5.6,-20.2,4.9,-1.6,2.3,3.9
2012,Blue Jays,12993,-5,1,0,-4,16,5,37,12,72,2238,1864,0.833,464,-10,5.3,10.1,-3.9,-15.1,4.3,-4.6,0.7,3.9
2016,Blue Jays,13134,16,4,-6,-1,0,-4,43,16,58,2087,1719,0.824,514,19,17,-5.2,1.5,12.8,2.3,11.4,0.7,3.4
2018,Pirates,12906,-11,0,5,2,11,-12,-35,22,-10,1996,1616,0.81,574,1,-10.1,11.9,-0.1,-11,-3.5,-2.8,1.8,3.2
2019,Padres,12888,25,5,0,-4,-2,-9,4,8,17,1945,1550,0.797,583,,15.7,-8.1,-2,14.8,-1.5,3.2,-1.6,3.2
2006,Braves,12972,0,1,-3,-1,-1,5,-8,,-13,2398,1980,0.826,419,,,-1.3,-2.8,14,0.1,10,0.9,3
2020,Royals,4653,2,3,-2,2,-2,2,-21,6,-10,680,534,0.785,235,,-0.9,0.5,1,-0.1,2.7,4,1.4,3
2019,Giants,13221,12,-1,-1,-9,-3,-1,27,22,47,2018,1642,0.814,578,,6.9,-7.6,-4.5,16.8,0.8,5.6,-1.1,2.6
2020,Diamondbacks,4665,4,-2,-3,2,-2,-1,5,1,-2,622,506,0.814,286,,4.6,1.3,-0.2,9,-3.7,6.5,2.9,2.5
2017,Nationals,13020,-5,2,-1,-3,3,-10,-14,-6,-42,1978,1609,0.813,525,0,-8.8,-1.9,-0.5,6.4,2.4,6.3,0.4,2.3
2017,Tigers,12783,-12,-3,-3,-9,-12,-12,-16,-3,-71,2152,1747,0.812,504,-12,-13.1,-14.2,-5.5,9.8,13.1,3.2,-1.6,2.2
2010,Rays,13083,-7,-1,-4,-3,3,6,10,11,22,2226,1857,0.834,487,56,-11.9,4.6,-4.1,32.3,0.8,33.5,5.5,2.2
2019,Brewers,13134,15,-2,-4,1,-5,9,23,12,40,1827,1463,0.801,612,,23.3,-0.4,2.4,15.2,-7.2,10,1.6,2
2018,Rays,13035,-5,1,-5,1,4,3,37,24,57,1923,1571,0.817,661,21,-12.1,-3.3,-1.1,20.5,-7.2,8.9,0.4,1.9
2019,Yankees,12987,0,-1,2,0,2,4,-11,5,-5,1856,1451,0.782,636,,-5.3,-0.2,1.6,1.6,-0.2,2.7,0.5,1.7
2014,Brewers,13119,25,1,0,-8,-6,-1,-14,8,0,2253,1835,0.814,499,12,24.5,-5.3,-7,12.4,-5.9,-5.8,-2.5,1.6
2020,Marlins,4536,-4,-3,0,3,1,-1,-1,5,0,716,576,0.804,236,,-4.4,0.4,1.7,-3.8,2.2,0.5,0.2,1.5
2014,Cubs,13170,-16,-4,2,1,-10,-8,10,-11,-38,2219,1829,0.824,426,-16,-22.4,-5.1,1.8,10.3,-6.6,0.4,-0.7,1.3
2014,Marlins,13119,-15,4,-2,-3,2,-2,4,-15,-33,2378,1908,0.802,503,-11,-31.2,7.2,-1.4,-4.6,4.9,6.1,1.9,1.1
2015,Red Sox,13035,-7,-1,3,-8,7,-12,12,-5,-2,2137,1760,0.824,571,2,-8.1,-5.2,0.1,-8,5.2,-7.9,-1.8,1.1
2018,Rockies,13071,8,0,-1,4,-6,0,-12,21,9,1978,1621,0.82,559,6,10.8,-1.6,3.9,-13.9,15.7,4.1,0.6,1.1
2014,Athletics,13170,-3,2,-4,-3,9,10,17,4,28,2210,1849,0.837,483,7,-18,-1.9,-1,19.3,-4.7,11.7,0.9,1.1
2020,Mariners,4650,-2,-2,-1,2,5,0,7,11,17,660,530,0.803,270,,-2.6,2.7,0.2,0.2,1.9,5,2.7,1
2012,Royals,13062,-14,1,6,3,14,11,-25,-3,-3,2234,1827,0.818,442,16,-15.6,16.6,5.1,-31.3,-1.4,-11,1.4,0.9
2019,Nationals,12954,-13,1,-3,1,7,3,-4,2,-3,1831,1519,0.83,598,,-6,1.2,-4.5,-4.1,10.2,2.9,0.2,0.9
2020,Tigers,4431,-5,-1,-2,0,-6,0,0,2,-14,676,544,0.805,264,,-4.4,-5.1,0.2,11.7,-0.9,5.9,0.6,0.9
2007,Diamondbacks,12969,0,0,-1,4,-3,5,20,,36,2409,1964,0.815,386,,,-3,1.7,-3.1,1.3,-3.2,-0.9,0.8
2013,Rays,13176,16,0,-1,0,-3,6,20,1,30,2138,1786,0.835,495,35,21.1,-4.2,-2.9,4.5,13.3,10.7,0.5,-0.1
2009,Brewers,12915,0,-5,-2,0,-12,-3,7,,-18,2375,2014,0.848,377,10,2.4,-8.8,1.1,13.8,-6.9,-0.8,-1.5,-0.4
2014,Dodgers,13182,-8,-1,2,5,9,-8,18,-14,6,2194,1820,0.83,391,-3,-13.2,6.2,2.7,-1,-8.4,-0.5,1.5,-0.5
2011,Mariners,12897,-15,-1,-2,3,-6,7,9,1,-4,2257,1891,0.838,459,5,-22.3,2.1,4.3,3.2,-0.4,9.1,2,-0.5
2016,Tigers,12852,-6,0,5,4,-18,1,-44,-2,-57,2158,1749,0.81,451,-1,-12.6,-14.5,3.2,-13.7,16.4,-8.5,-3.1,-0.5
2020,Red Sox,4716,-1,2,2,-1,6,1,-5,-4,-2,708,539,0.761,230,,1.6,4.7,0.3,-1.6,-6,-2.5,0.9,-0.5
2018,Twins,12990,-8,0,-3,-2,2,-1,7,30,25,1947,1556,0.799,606,-9,-0.9,-1.2,-2.4,10.5,-5.5,1.4,-0.2,-0.6
2009,Dodgers,13260,0,4,1,1,-6,1,7,,14,2171,1816,0.836,406,31,21.4,-6.4,2.1,-1,5,-0.3,-1.1,-0.7
2017,Phillies,12969,-23,2,-3,-2,4,-4,-25,-5,-46,2048,1650,0.806,522,1,-21.5,-0.2,2.3,-11.4,11.6,2.3,0.4,-0.7
2013,Mets,13290,-12,-6,-3,-1,11,-3,-21,0,-24,2181,1817,0.833,543,-35,-16.3,12.9,-2.8,-6.1,-2.1,1.8,2.1,-0.8
2019,Marlins,12999,-1,-6,0,1,-9,2,9,23,25,1880,1522,0.81,586,,-7.4,3.4,2.4,4.1,-10.9,-1,0.9,-1
2014,Blue Jays,12987,-14,0,-3,1,11,5,-23,-4,-28,2255,1847,0.819,489,-35,-23.6,8.2,-0.5,-8.5,1.9,1.1,1.3,-1
2007,Rockies,13248,0,4,0,8,-3,1,28,,34,2535,2120,0.836,376,,,0.9,5.5,-22.2,18.8,2.9,1,-1.1
2019,Rays,13269,7,-1,0,0,2,3,7,41,53,1802,1435,0.796,630,,5.1,5.1,-1.1,1.1,-7.2,-2.1,0.4,-1.1
2012,Yankees,13008,23,-3,0,0,-10,5,-6,0,-2,2103,1716,0.816,496,-16,29.2,-7.6,-2.3,1.3,8.8,0.2,-1.7,-1.4
2009,Diamondbacks,13029,0,6,-3,-2,-11,-20,20,,-12,2263,1879,0.83,488,-4,18.8,-1.2,-0.6,16.9,-9.6,5.4,0.4,-1.7
2006,Devil Rays,12783,0,-1,-6,4,2,-9,-28,,-35,2524,2015,0.798,389,,,-0.2,-3.5,17.4,-12.5,1.2,-0.3,-1.8
2018,Yankees,13107,15,3,0,-8,5,-2,1,17,23,1759,1402,0.797,620,-4,10,13.1,-6.8,-4.3,-1.9,0.1,1.7,-1.9
2012,Rangers,12978,-9,-4,-7,3,1,-4,8,0,-12,2126,1742,0.819,495,33,-14.6,-3,4,12.5,-2.4,11.1,1.2,-2.1
2016,Nationals,13137,0,0,0,2,3,2,-8,6,2,1917,1571,0.82,521,23,5.9,5.7,0.5,-15,5.3,-3.5,0.8,-2.5
