TeamYear,Season,Team,W%,HR,BB%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,BIZ,Plays,RZR,HR/9,BABIP_y,GB%,HR/FB
2018_Dodgers,2018,Dodgers,0.5644171779141104,1.4417177914110428,0.102,0.191,0.294,0.25,0.333,0.442,0.333,11.9079754601227,9.693251533742332,0.8140000000000001,1.09,0.284,0.449,0.134
2008_Cardinals,2008,Cardinals,0.5308641975308642,1.0740740740740742,0.091,0.152,0.312,0.281,0.35,0.433,0.342,14.987654320987655,12.703703703703704,0.848,1.01,0.295,0.45299999999999996,0.10300000000000001
2011_Rangers,2011,Rangers,0.5925925925925926,1.2962962962962963,0.076,0.177,0.304,0.28300000000000003,0.34,0.46,0.34700000000000003,12.802469135802468,10.814814814814815,0.845,1.06,0.278,0.426,0.107
2007_Yankees,2007,Yankees,0.5802469135802469,1.2407407407407407,0.098,0.174,0.318,0.29,0.366,0.463,0.361,15.524691358024691,12.876543209876543,0.8290000000000001,0.93,0.299,0.428,0.085
2009_Yankees,2009,Yankees,0.6358024691358025,1.5061728395061729,0.10300000000000001,0.194,0.306,0.28300000000000003,0.362,0.478,0.365,13.444444444444445,11.425925925925926,0.85,1.12,0.29,0.423,0.111
2012_Angels,2012,Angels,0.5493827160493827,1.154320987654321,0.073,0.159,0.311,0.274,0.332,0.433,0.331,13.839506172839506,11.623456790123457,0.84,1.17,0.277,0.439,0.121
2017_Astros,2017,Astros,0.6234567901234568,1.4691358024691359,0.081,0.196,0.309,0.282,0.34600000000000003,0.478,0.349,11.450617283950617,9.030864197530864,0.789,1.2,0.3,0.473,0.149
2012_Yankees,2012,Yankees,0.5864197530864198,1.5123456790123457,0.091,0.188,0.293,0.265,0.337,0.453,0.342,12.981481481481481,10.592592592592593,0.816,1.18,0.29600000000000004,0.449,0.13
2017_Dodgers,2017,Dodgers,0.6419753086419753,1.3641975308641976,0.105,0.188,0.293,0.249,0.334,0.4370000000000001,0.33,10.88888888888889,8.969135802469136,0.8240000000000001,1.15,0.281,0.42700000000000005,0.134
2008_Red Sox,2008,Red Sox,0.5864197530864198,1.0679012345679013,0.10099999999999999,0.168,0.315,0.28,0.358,0.447,0.35100000000000003,14.277777777777779,11.944444444444445,0.8370000000000001,0.91,0.289,0.435,0.092
2008_Phillies,2008,Phillies,0.5679012345679012,1.3209876543209877,0.09300000000000001,0.182,0.28300000000000003,0.255,0.332,0.438,0.334,13.808641975308642,11.351851851851851,0.8220000000000001,0.99,0.292,0.44799999999999995,0.10800000000000001
2019_Yankees,2019,Yankees,0.6358024691358025,1.8888888888888888,0.091,0.222,0.306,0.267,0.339,0.49,0.34600000000000003,11.45679012345679,8.95679012345679,0.782,1.55,0.29600000000000004,0.424,0.168
2018_Red Sox,2018,Red Sox,0.6666666666666666,1.2839506172839505,0.09,0.185,0.309,0.268,0.339,0.453,0.34,11.62962962962963,9.462962962962964,0.8140000000000001,1.09,0.294,0.424,0.11900000000000001
2009_Phillies,2009,Phillies,0.5740740740740741,1.382716049382716,0.09300000000000001,0.189,0.28600000000000003,0.258,0.334,0.447,0.339,14.037037037037036,11.833333333333334,0.843,1.17,0.29600000000000004,0.408,0.11
2014_Dodgers,2014,Dodgers,0.5802469135802469,0.8271604938271605,0.083,0.14,0.318,0.265,0.333,0.406,0.327,13.54320987654321,11.234567901234568,0.83,0.87,0.292,0.478,0.10800000000000001
2018_Yankees,2018,Yankees,0.6172839506172839,1.6481481481481481,0.1,0.202,0.285,0.249,0.329,0.451,0.335,10.858024691358025,8.654320987654321,0.797,1.09,0.3,0.429,0.129
2018_Athletics,2018,Athletics,0.5987654320987654,1.4012345679012346,0.08800000000000001,0.187,0.294,0.252,0.325,0.439,0.329,12.75925925925926,10.882716049382717,0.853,1.13,0.27,0.436,0.122
2014_Pirates,2014,Pirates,0.5432098765432098,0.9629629629629629,0.084,0.145,0.307,0.259,0.33,0.404,0.325,13.864197530864198,11.283950617283951,0.8140000000000001,0.79,0.29,0.505,0.10300000000000001
2010_Yankees,2010,Yankees,0.5864197530864198,1.2407407407407407,0.10400000000000001,0.16899999999999998,0.3,0.267,0.35,0.436,0.34600000000000003,14.055555555555555,11.61111111111111,0.826,1.12,0.281,0.439,0.107
2019_Twins,2019,Twins,0.6234567901234568,1.8950617283950617,0.08199999999999999,0.224,0.3,0.27,0.338,0.494,0.34700000000000003,12.037037037037036,9.574074074074074,0.795,1.22,0.309,0.418,0.134
2007_Tigers,2007,Tigers,0.5432098765432098,1.0925925925925926,0.07400000000000001,0.171,0.32299999999999995,0.287,0.345,0.458,0.34700000000000003,15.462962962962964,12.858024691358025,0.8320000000000001,1.08,0.295,0.442,0.102
2010_Rays,2010,Rays,0.5925925925925926,0.9876543209876543,0.107,0.156,0.293,0.247,0.333,0.403,0.326,13.74074074074074,11.462962962962964,0.8340000000000001,1.08,0.278,0.413,0.099
2011_Brewers,2011,Brewers,0.5925925925925926,1.1419753086419753,0.079,0.16399999999999998,0.293,0.261,0.325,0.425,0.327,13.271604938271604,11.04320987654321,0.8320000000000001,0.92,0.28800000000000003,0.447,0.09699999999999999
2011_Diamondbacks,2011,Diamondbacks,0.5802469135802469,1.0617283950617284,0.087,0.163,0.294,0.25,0.322,0.413,0.322,13.333333333333334,11.185185185185185,0.8390000000000001,0.99,0.28600000000000003,0.419,0.095
2014_Angels,2014,Angels,0.6049382716049383,0.9567901234567902,0.078,0.147,0.305,0.259,0.322,0.406,0.321,13.697530864197532,11.38888888888889,0.831,0.76,0.285,0.41700000000000004,0.08
2008_Cubs,2008,Cubs,0.6024844720496895,1.1428571428571428,0.1,0.165,0.321,0.278,0.354,0.443,0.349,13.118012422360248,10.937888198757763,0.8340000000000001,0.99,0.281,0.41600000000000004,0.098
2010_Brewers,2010,Brewers,0.47530864197530864,1.123456790123457,0.087,0.161,0.304,0.262,0.335,0.424,0.334,13.685185185185185,11.253086419753087,0.8220000000000001,1.08,0.308,0.418,0.10300000000000001
2007_Red Sox,2007,Red Sox,0.5925925925925926,1.0246913580246915,0.107,0.165,0.315,0.279,0.362,0.444,0.35200000000000004,14.925925925925926,12.314814814814815,0.825,0.94,0.284,0.426,0.087
2011_Cardinals,2011,Cardinals,0.5555555555555556,1.0,0.087,0.151,0.305,0.273,0.341,0.425,0.334,14.746913580246913,12.203703703703704,0.828,0.84,0.29600000000000004,0.47700000000000004,0.09300000000000001
2015_Giants,2015,Giants,0.5185185185185185,0.8395061728395061,0.07400000000000001,0.139,0.313,0.267,0.326,0.406,0.318,13.75925925925926,11.438271604938272,0.831,0.97,0.28300000000000003,0.46,0.10800000000000001
2011_Reds,2011,Reds,0.4876543209876543,1.1296296296296295,0.085,0.152,0.297,0.256,0.326,0.408,0.322,14.166666666666666,12.067901234567902,0.852,1.13,0.282,0.44799999999999995,0.115
2008_Rays,2008,Rays,0.5987654320987654,1.1111111111111112,0.099,0.162,0.302,0.26,0.34,0.422,0.335,13.993827160493828,11.709876543209877,0.8370000000000001,1.02,0.277,0.408,0.09300000000000001
2017_Yankees,2017,Yankees,0.5617283950617284,1.4876543209876543,0.09699999999999999,0.185,0.304,0.262,0.339,0.447,0.336,11.685185185185185,9.462962962962964,0.81,1.19,0.28,0.462,0.142
2009_Angels,2009,Angels,0.5987654320987654,1.0679012345679013,0.087,0.156,0.322,0.285,0.35,0.441,0.34600000000000003,13.993827160493828,11.703703703703704,0.836,1.12,0.301,0.41700000000000004,0.10099999999999999
2015_Dodgers,2015,Dodgers,0.5679012345679012,1.154320987654321,0.092,0.163,0.292,0.25,0.326,0.413,0.322,12.617283950617283,10.444444444444445,0.828,0.9,0.29600000000000004,0.501,0.121
2012_Giants,2012,Giants,0.5802469135802469,0.6358024691358025,0.078,0.128,0.315,0.269,0.327,0.397,0.314,13.617283950617283,11.24074074074074,0.825,0.88,0.289,0.46,0.099
2008_Mets,2008,Mets,0.5493827160493827,1.0617283950617284,0.09699999999999999,0.154,0.29600000000000004,0.266,0.34,0.42,0.332,13.833333333333334,11.518518518518519,0.833,1.0,0.289,0.431,0.105
