TeamYear,Season,Team,G_x,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,wRC+,EV_x,BsR,Off,Def_x,WAR_x,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def_y,W,L,SV,G_y,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,EV_y,ERA,FIP,xFIP,WAR_y
2006_Athletics,2006,Athletics,2197,6281,175,771,735,61,10.30%,15.50%,0.152,0.285,0.26,0.34,0.41200000000000003,0.32799999999999996,97,,-16.5,-38.5,-8.1,16.5,13065,0,4,6,6,3,1,-21,,4,2504,2068,0.826,350,,,-4.7,-2.2,-2.2,12.8,3.6,-0.4,11.6,93,69,54,606,162,1451.2,6.22,3.28,1.0,0.301,73.40%,42.60%,9.20%,,4.22,4.42,4.67,17.2
2013_Mets,2013,Mets,2378,6207,130,619,593,114,8.20%,22.30%,0.129,0.29100000000000004,0.237,0.306,0.366,0.297,90,,23.0,-49.4,16.1,16.5,13290,-12,-6,-3,-1,11,-3,-21,0.0,-24,2181,1817,0.833,543,-35.0,-16.3,12.9,-2.8,-6.1,-2.1,1.8,2.1,-0.8,74,88,40,697,162,1476.2,7.37,2.79,0.93,0.295,72.90%,44.50%,10.00%,,3.78,3.79,3.86,18.1
2015_Reds,2015,Reds,2337,6196,167,640,613,134,8.00%,20.30%,0.146,0.29,0.248,0.312,0.39399999999999996,0.307,91,86.9,10.9,-52.3,16.1,16.5,13080,-4,1,-4,-2,-1,0,-10,11.0,-15,2201,1818,0.826,494,18.0,-5.9,2.0,-3.8,-6.6,0.6,-7.9,-0.9,-16.9,64,98,35,683,162,1453.1,7.75,3.37,1.1,0.297,71.70%,44.10%,12.10%,88.2,4.35,4.24,4.14,10.8
2019_Mariners,2019,Mariners,2347,6199,239,758,730,115,9.50%,25.50%,0.187,0.287,0.237,0.316,0.424,0.314,98,87.4,13.4,-0.3,-50.1,16.4,12954,-7,-3,1,-4,-1,-13,-51,-6.0,-88,2158,1729,0.8009999999999999,609,,-6.3,-10.0,-1.9,-8.3,-9.4,-29.5,-5.2,-31.5,68,94,34,700,162,1439.1,7.75,3.16,1.63,0.29100000000000004,68.40%,43.40%,16.40%,89.5,5.0,5.0,4.85,5.8
2015_Padres,2015,Padres,2396,6019,148,650,623,82,7.10%,22.00%,0.142,0.292,0.243,0.3,0.385,0.298,90,87.9,5.0,-63.5,31.5,16.4,12963,7,0,2,0,-10,5,-17,-4.0,-20,2056,1673,0.8140000000000001,487,-38.0,21.5,-9.5,-1.0,-15.3,2.1,-23.7,-5.3,-20.7,74,88,41,678,162,1440.1,8.7,3.22,1.07,0.303,71.10%,46.90%,13.30%,88.3,4.09,3.93,3.71,9.7
2014_Mariners,2014,Mariners,2333,5977,136,634,600,96,6.60%,20.60%,0.132,0.29,0.244,0.3,0.376,0.299,94,,3.2,-37.8,-1.5,16.4,13068,23,-4,2,-1,-2,-7,14,-4.0,8,2113,1761,0.833,499,16.0,17.3,-10.9,3.4,-3.0,9.5,-0.9,-2.3,-3.5,87,75,51,659,162,1452.0,8.16,2.87,0.85,0.275,76.80%,45.40%,9.90%,,3.17,3.61,3.57,13.6
2018_Rockies,2018,Rockies,2368,6178,210,780,748,95,8.20%,22.60%,0.179,0.304,0.256,0.322,0.435,0.325,88,88.9,3.2,-89.1,53.2,16.4,13071,8,0,-1,4,-6,0,-12,21.0,9,1978,1621,0.82,559,6.0,10.8,-1.6,3.9,-13.9,15.7,4.1,0.6,1.1,91,72,51,681,163,1452.1,8.73,3.25,1.14,0.299,71.30%,45.20%,13.50%,88.5,4.33,4.06,3.96,17.3
2007_Blue Jays,2007,Blue Jays,2308,6197,165,753,719,57,8.60%,16.80%,0.16,0.29,0.259,0.327,0.419,0.326,95,,-11.3,-47.4,-0.8,16.2,13038,0,6,-7,3,7,10,69,,81,2436,2048,0.841,382,,,3.5,-3.1,21.8,2.7,24.9,3.9,7.9,83,79,44,582,162,1448.2,6.63,2.98,0.98,0.282,71.80%,48.70%,10.60%,,4.0,4.28,4.15,17.5
2016_Rangers,2016,Rangers,2324,6089,215,765,746,99,7.20%,20.00%,0.172,0.298,0.262,0.322,0.433,0.324,95,88.8,2.0,-36.8,-14.5,16.2,12987,1,-5,2,4,0,-2,-12,17.0,2,2227,1780,0.799,595,13.0,-11.3,3.3,7.4,6.5,-5.9,11.4,2.2,12.4,95,67,56,641,162,1443.0,7.2,3.33,1.25,0.292,72.80%,45.50%,13.50%,88.4,4.38,4.58,4.49,12.6
2014_Twins,2014,Twins,2292,6233,128,715,675,99,8.70%,21.30%,0.135,0.309,0.254,0.324,0.389,0.316,100,,20.9,23.5,-72.6,16.2,12915,-28,0,-9,-1,2,11,-75,8.0,-90,2414,1997,0.8270000000000001,428,-34.0,-28.2,3.5,-1.2,-26.3,4.2,-19.9,-2.2,-31.9,70,92,38,653,162,1435.0,6.47,2.56,0.92,0.315,68.90%,41.80%,8.60%,,4.58,3.97,4.12,14.3
2006_Red Sox,2006,Red Sox,2346,6435,192,820,777,51,10.40%,16.40%,0.166,0.298,0.26899999999999996,0.35100000000000003,0.435,0.34,100,,-10.3,-13.4,-43.5,16.1,12972,0,0,-7,7,-1,4,-51,,-57,2520,2018,0.8009999999999999,357,,,2.2,1.7,-43.4,17.7,-21.9,-2.3,-34.9,86,76,46,616,162,1441.1,6.68,3.18,1.13,0.311,69.80%,43.80%,10.80%,,4.83,4.5,4.5,13.4
2018_Twins,2018,Twins,2351,6154,166,738,704,47,8.70%,21.60%,0.155,0.298,0.25,0.318,0.405,0.313,96,87.9,0.6,-30.9,-17.4,16.0,12990,-8,0,-3,-2,2,-1,7,30.0,25,1947,1556,0.799,606,-9.0,-0.9,-1.2,-2.4,10.5,-5.5,1.4,-0.2,-0.6,78,84,37,728,162,1443.1,8.59,3.57,1.23,0.302,72.40%,41.60%,13.20%,88.5,4.5,4.39,4.33,11.9
2010_Marlins,2010,Marlins,2300,6194,152,719,686,92,8.30%,22.20%,0.149,0.309,0.254,0.321,0.40299999999999997,0.318,92,,22.5,-36.4,2.7,15.9,12945,-5,1,0,-3,10,7,-52,2.0,-40,2284,1845,0.8079999999999999,439,-15.0,-14.1,9.2,-3.6,-13.9,-9.6,-17.9,-1.5,-16.4,80,82,39,643,162,1438.1,7.31,3.44,0.84,0.301,71.30%,43.60%,8.10%,,4.09,3.92,4.11,16.1
2006_Brewers,2006,Brewers,2206,6130,180,730,695,71,8.20%,20.10%,0.162,0.3,0.258,0.327,0.42,0.322,89,,-1.5,-87.8,47.7,15.9,12831,0,3,-1,-6,-12,-2,21,,-3,2219,1817,0.8190000000000001,418,,,-6.7,-2.8,22.8,-6.3,6.9,-0.6,4.9,75,87,43,589,162,1425.2,7.23,3.24,1.12,0.297,67.40%,42.10%,10.80%,,4.83,4.39,4.4,16.2
2012_Mets,2012,Mets,2420,6091,139,650,625,79,8.30%,20.50%,0.13699999999999998,0.298,0.249,0.316,0.386,0.306,94,,-3.2,-48.6,16.1,15.9,12906,10,5,-3,-2,-4,-6,-32,2.0,-33,2086,1739,0.8340000000000001,438,-22.0,8.9,-8.1,-2.0,-14.7,0.8,-24.0,-5.1,-28.5,74,88,36,667,162,1434.0,7.78,3.06,1.01,0.29,71.10%,42.60%,10.50%,,4.09,3.93,4.04,14.3
2006_Rangers,2006,Rangers,2227,6273,183,835,799,53,8.10%,16.90%,0.168,0.311,0.278,0.33799999999999997,0.446,0.337,97,,-7.4,-31.5,-21.7,15.9,12882,0,-1,5,5,11,9,-22,,12,2539,2079,0.8190000000000001,368,,,5.1,-3.1,-21.9,8.0,-11.9,-1.0,-3.9,80,82,42,651,162,1431.1,6.11,3.12,1.02,0.307,70.60%,46.40%,10.40%,,4.61,4.44,4.5,15.8
2017_Braves,2017,Braves,2374,6216,165,732,706,77,7.60%,19.00%,0.15,0.305,0.263,0.326,0.41200000000000003,0.316,90,86.7,4.3,-79.8,35.0,15.9,12972,28,-2,-2,3,-3,-10,-27,7.0,-13,2116,1692,0.8,536,-12.0,9.4,-2.1,0.8,-12.0,3.7,-9.6,-1.5,-10.6,72,90,36,692,162,1441.1,7.86,3.65,1.2,0.302,70.10%,44.50%,12.50%,87.5,4.72,4.51,4.67,8.9
2007_Padres,2007,Padres,2334,6326,171,741,704,55,8.80%,19.40%,0.16,0.29100000000000004,0.251,0.322,0.41100000000000003,0.32,96,,3.3,-30.4,-16.6,15.8,13362,0,-1,-12,1,-5,0,33,,-3,2444,2032,0.831,376,,,-8.4,3.3,-44.1,8.0,-41.3,-6.7,-72.3,89,74,45,648,163,1484.2,6.89,2.87,0.72,0.287,71.60%,45.80%,7.40%,,3.72,3.81,4.13,22.7
2010_White Sox,2010,White Sox,2212,6118,177,752,710,160,7.60%,15.10%,0.152,0.292,0.268,0.332,0.42,0.332,100,,-8.1,-8.0,-56.3,15.7,13017,-4,4,2,3,-13,-3,-46,0.0,-56,2384,1905,0.799,427,-1.0,2.2,-9.6,2.8,-31.3,-3.7,-41.8,-6.9,-37.5,88,74,43,569,162,1446.1,7.15,3.05,0.85,0.305,71.50%,44.90%,8.40%,,4.09,3.8,3.94,24.0
2006_Giants,2006,Giants,2313,6136,163,746,711,58,8.10%,14.50%,0.163,0.282,0.259,0.324,0.42200000000000004,0.32,88,,-15.8,-116.3,73.5,15.7,12867,0,0,-3,-3,-14,15,30,,32,2424,2053,0.847,351,,,-7.1,-4.0,36.3,5.8,31.1,2.2,31.1,76,85,37,599,161,1429.2,6.24,3.68,0.96,0.287,69.10%,41.90%,8.90%,,4.64,4.52,4.82,13.0
2016_Diamondbacks,2016,Diamondbacks,2399,6260,190,752,709,137,7.40%,22.80%,0.171,0.315,0.261,0.32,0.43200000000000005,0.321,93,89.0,17.7,-39.7,-2.0,15.6,13062,-7,0,3,3,-20,4,-2,-4.0,-24,2195,1742,0.794,534,-17.0,-11.8,-10.4,2.7,-16.3,-0.5,-24.5,-4.6,-19.5,69,93,31,737,162,1451.1,8.17,3.74,1.25,0.32,68.70%,46.00%,14.10%,89.0,5.09,4.5,4.34,10.1
2011_Blue Jays,2011,Blue Jays,2265,6210,186,743,704,131,8.50%,19.10%,0.16399999999999998,0.28300000000000003,0.249,0.317,0.413,0.319,97,,12.1,-11.4,-46.8,15.6,13128,-3,2,-4,-2,4,-20,17,1.0,-6,2229,1888,0.847,500,-17.0,-4.6,6.2,-2.3,-16.7,-1.8,-14.5,-1.0,-28.9,81,81,33,636,162,1458.2,7.21,3.33,1.1,0.29,71.60%,44.40%,11.30%,,4.33,4.29,4.06,10.7
2009_Padres,2009,Padres,2348,6179,141,638,605,82,9.50%,19.10%,0.138,0.284,0.242,0.321,0.381,0.309,93,,-10.4,-66.8,28.9,15.5,13056,0,0,2,0,-19,0,13,,-6,2270,1853,0.816,456,-4.0,1.4,-10.0,0.6,1.3,-0.5,-8.6,-2.8,-6.1,75,87,45,689,162,1450.2,7.36,3.74,1.04,0.294,70.90%,43.50%,10.10%,,4.37,4.3,4.29,11.1
2007_Reds,2007,Reds,2383,6332,204,783,747,97,8.50%,17.60%,0.17,0.298,0.267,0.335,0.436,0.335,94,,-7.2,-58.5,8.4,15.5,13047,0,3,1,3,-1,-15,-44,,-59,2469,2008,0.813,345,,,-7.8,1.5,-26.9,2.3,-30.9,-5.2,-28.9,72,90,34,684,162,1449.2,6.63,2.99,1.23,0.31,69.40%,40.00%,10.70%,,4.95,4.69,4.52,15.0
2016_Yankees,2016,Yankees,2308,6058,183,680,647,72,7.80%,19.60%,0.153,0.289,0.252,0.314,0.405,0.311,92,88.1,10.6,-49.5,-7.3,15.5,12855,3,0,-4,-7,3,-1,9,18.0,14,2012,1620,0.805,533,3.0,0.0,5.8,-5.7,8.9,3.7,12.6,2.3,6.6,84,78,48,645,162,1428.1,8.78,2.8,1.35,0.292,74.20%,46.90%,15.50%,88.5,4.16,4.2,3.86,18.7
2008_White Sox,2008,White Sox,2298,6231,235,811,785,67,8.70%,16.30%,0.185,0.281,0.263,0.332,0.44799999999999995,0.33899999999999997,101,,-27.4,-17.8,-43.6,15.5,13119,0,-4,-5,4,-6,3,-20,,-34,2352,1932,0.821,382,,-4.2,-1.6,2.3,-10.9,-6.3,-16.5,-2.4,-31.3,89,74,34,626,163,1457.2,7.08,2.84,0.96,0.298,71.00%,45.50%,10.00%,,4.11,4.0,4.01,24.1
2014_Cubs,2014,Cubs,2358,6102,157,614,590,65,7.20%,24.20%,0.146,0.29600000000000004,0.239,0.3,0.385,0.303,91,,4.0,-59.8,15.2,15.4,13170,-16,-4,2,1,-10,-8,10,-11.0,-38,2219,1829,0.8240000000000001,426,-16.0,-22.4,-5.1,1.8,10.3,-6.6,0.4,-0.7,1.3,73,89,37,699,162,1463.1,8.06,3.1,0.71,0.304,69.60%,44.00%,8.00%,,3.92,3.51,3.7,20.5
2015_Marlins,2015,Marlins,2297,5988,120,613,575,112,6.30%,19.20%,0.124,0.307,0.26,0.31,0.384,0.302,91,88.3,-1.2,-67.5,26.9,15.3,12843,-7,6,-2,4,3,-3,31,-10.0,18,2188,1817,0.83,485,28.0,-17.3,0.5,5.9,-7.7,15.6,14.3,2.4,10.3,71,91,35,648,162,1427.0,7.27,3.2,0.89,0.294,72.30%,44.50%,9.50%,88.5,4.04,3.98,4.23,12.2
2007_Mariners,2007,Mariners,2338,6209,153,794,754,81,6.30%,13.90%,0.138,0.313,0.287,0.337,0.425,0.33299999999999996,103,,-9.6,10.4,-68.4,15.3,12909,0,-8,0,2,2,-11,-36,,-46,2450,1966,0.802,395,,,5.1,1.5,-62.1,2.4,-53.1,-6.1,-41.1,88,74,43,618,162,1434.1,6.4,3.43,0.92,0.315,69.30%,43.60%,8.40%,,4.77,4.42,4.62,14.2
2007_Rangers,2007,Rangers,2313,6214,179,816,768,88,8.10%,19.70%,0.163,0.305,0.263,0.32799999999999996,0.426,0.32899999999999996,94,,12.6,-33.6,-26.5,15.1,12870,0,-1,3,1,1,-14,1,,-4,2496,2032,0.8140000000000001,412,,,0.0,-3.4,-3.2,-7.7,-14.3,-2.1,-9.3,75,87,42,629,162,1430.0,6.14,4.2,0.98,0.303,69.40%,46.50%,9.70%,,4.76,4.83,4.82,9.1
2009_Nationals,2009,Nationals,2401,6273,156,710,685,73,9.80%,19.30%,0.14800000000000002,0.302,0.258,0.337,0.406,0.327,96,,-5.7,-37.5,-7.6,15.1,12819,0,-1,0,0,0,-22,-14,,-36,2368,1945,0.821,508,-15.0,-1.3,0.9,2.0,-19.1,-20.2,-36.4,-4.1,-38.2,59,103,33,694,162,1424.1,5.76,3.97,1.09,0.29600000000000004,67.90%,44.40%,10.30%,,5.02,4.82,4.8,4.9
2010_Mets,2010,Mets,2348,6144,128,656,625,130,8.20%,17.80%,0.134,0.287,0.249,0.314,0.38299999999999995,0.307,89,,10.6,-71.2,30.6,15.1,13077,1,1,-2,2,14,-4,22,-1.0,39,2303,1857,0.8059999999999999,445,4.0,-12.9,14.6,1.5,-13.2,6.7,9.6,3.8,-11.0,79,83,36,653,162,1453.0,6.85,3.38,0.84,0.29600000000000004,74.90%,44.80%,8.40%,,3.73,4.0,4.14,14.1
2007_Orioles,2007,Orioles,2348,6264,142,756,718,144,8.00%,15.00%,0.141,0.302,0.272,0.33299999999999996,0.41200000000000003,0.327,95,,-9.0,-45.5,-17.2,15.1,12948,0,0,-3,-3,3,3,-13,,-12,2538,2078,0.8190000000000001,356,,,-1.2,-6.3,0.1,9.1,1.7,-0.5,-3.3,69,93,30,652,162,1438.2,6.8,4.35,1.01,0.302,68.40%,44.90%,9.70%,,5.19,4.78,4.78,11.0
2009_Tigers,2009,Tigers,2350,6234,183,743,718,72,8.70%,17.90%,0.156,0.294,0.26,0.331,0.41600000000000004,0.32799999999999996,94,,0.4,-48.2,-19.9,15.0,13023,0,-3,5,1,9,9,3,,25,2246,1890,0.841,471,41.0,-33.8,5.9,-0.2,18.3,2.6,26.5,4.6,32.6,86,77,42,602,163,1447.0,6.85,3.69,1.13,0.293,73.20%,42.70%,10.60%,,4.34,4.53,4.45,17.0
2018_Mets,2018,Mets,2333,6177,170,676,649,71,9.20%,22.70%,0.154,0.28300000000000003,0.23399999999999999,0.312,0.389,0.305,94,87.8,2.6,-40.5,-8.3,15.0,13146,-9,-1,-6,3,-3,2,-49,-2.0,-69,1970,1589,0.807,551,-30.0,-9.0,-3.8,2.1,-30.6,0.3,-32.1,-5.0,-44.1,77,85,41,663,162,1460.2,8.91,2.98,1.14,0.295,73.00%,42.10%,12.20%,87.7,4.07,3.97,4.03,17.7
2011_Padres,2011,Padres,2355,6074,91,593,563,170,8.20%,21.70%,0.11199999999999999,0.294,0.237,0.305,0.349,0.29,86,,18.2,-77.0,34.3,15.0,13044,-13,0,-2,-4,-3,8,36,5.0,32,2093,1774,0.848,479,-7.0,-15.7,-4.1,-4.8,25.2,5.7,22.0,1.8,20.0,71,91,44,651,162,1449.1,7.07,3.24,0.78,0.28300000000000003,74.50%,44.00%,8.20%,,3.43,3.73,3.93,15.1
2016_White Sox,2016,White Sox,2217,6131,168,686,656,77,7.40%,21.00%,0.153,0.304,0.257,0.317,0.41,0.314,97,88.4,-2.5,-27.0,-38.0,15.0,13020,-11,-3,-2,0,17,4,-21,15.0,-2,2142,1726,0.8059999999999999,542,-39.0,-21.3,14.7,0.6,-18.6,4.6,1.3,2.5,-49.3,78,84,43,643,162,1446.2,7.9,3.24,1.15,0.298,74.00%,43.10%,12.00%,88.4,4.12,4.27,4.38,17.1
2014_Reds,2014,Reds,2213,5978,131,595,562,122,6.90%,20.90%,0.127,0.284,0.23800000000000002,0.29600000000000004,0.365,0.294,83,,-1.2,-115.7,69.1,14.7,13014,-7,2,0,-1,4,11,28,18.0,65,2165,1805,0.8340000000000001,421,34.0,-0.7,5.7,-1.1,19.7,9.4,33.7,5.6,39.8,76,86,44,590,162,1446.0,8.03,3.16,1.01,0.27699999999999997,76.50%,45.10%,11.60%,,3.59,4.01,3.75,12.8
2008_Athletics,2008,Athletics,2282,6138,125,646,610,88,9.40%,20.00%,0.127,0.289,0.242,0.318,0.369,0.306,86,,12.4,-92.8,27.1,14.7,12915,0,2,3,12,1,3,20,,57,2289,1940,0.848,436,,0.8,0.8,9.9,31.1,-5.4,36.4,6.1,60.0,75,86,33,602,161,1435.0,6.65,3.61,0.85,0.287,72.20%,41.20%,8.00%,,4.01,4.19,4.53,14.6
2012_Orioles,2012,Orioles,2282,6160,214,712,677,58,7.80%,21.30%,0.17,0.28600000000000003,0.247,0.311,0.41700000000000004,0.317,96,,-17.1,-43.9,-24.7,14.6,13347,-1,3,4,0,-1,-6,-12,8.0,4,2266,1872,0.826,507,16.0,2.6,-4.3,0.4,-7.0,-7.4,-18.3,-3.2,-6.5,93,69,55,654,162,1483.0,7.14,2.92,1.12,0.285,73.80%,44.70%,11.70%,,3.9,4.2,4.14,16.0
2009_Athletics,2009,Athletics,2306,6247,135,759,723,133,8.40%,16.70%,0.135,0.298,0.262,0.32799999999999996,0.397,0.32,94,,12.8,-37.7,-34.9,14.6,13026,0,1,1,-2,3,9,-48,,-34,2331,1923,0.825,461,-1.0,-14.6,-0.3,-3.8,1.8,-6.9,-9.1,-1.5,-3.4,75,87,38,650,162,1447.1,6.99,3.25,0.97,0.302,70.30%,44.10%,9.20%,,4.29,4.1,4.24,18.0
2013_Yankees,2013,Yankees,2253,6044,144,650,614,115,7.70%,20.10%,0.133,0.285,0.242,0.307,0.376,0.301,86,,4.4,-89.3,28.1,14.6,13026,15,-4,2,-4,2,5,-7,15.0,24,2170,1765,0.813,561,1.0,25.6,3.3,-2.2,5.3,8.7,15.1,2.3,24.1,85,77,49,590,162,1447.1,7.67,2.72,1.06,0.302,74.60%,44.00%,11.50%,,3.94,3.89,3.76,14.8
2009_Indians,2009,Indians,2188,6320,161,773,730,84,9.20%,19.20%,0.153,0.308,0.264,0.33899999999999997,0.41700000000000004,0.33299999999999996,100,,-1.1,-0.4,-75.7,14.5,12906,0,-4,-5,3,-4,-5,-6,,-19,2376,1956,0.823,476,-11.0,-20.8,-9.5,2.8,-21.1,-3.8,-31.6,-5.2,-44.4,65,97,25,607,162,1434.0,6.19,3.75,1.15,0.305,68.90%,43.10%,10.30%,,5.07,4.73,4.69,9.9
2009_Cubs,2009,Cubs,2343,6244,161,707,678,56,9.50%,19.00%,0.152,0.29600000000000004,0.255,0.332,0.40700000000000003,0.324,90,,-13.2,-89.0,39.0,14.5,13008,0,1,6,-2,-2,-14,-8,,-23,2147,1799,0.838,385,-27.0,-6.9,-4.6,-3.6,8.3,-0.2,-0.2,-1.3,8.8,83,78,40,641,161,1445.1,7.92,3.65,1.0,0.285,74.40%,42.80%,10.00%,,3.84,4.11,4.14,18.5
