TeamYear,Season,Team,G_x,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP_x,AVG,OBP,SLG,wOBA,wRC+,EV_x,BsR,Off,Def_x,WAR_x,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,BIZ,Plays,RZR,OOZ,FSR,FRM,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def_y,W,L,SV,G_y,GS,IP,K/9,BB/9,HR/9,BABIP_y,LOB%,GB%,HR/FB,EV_y,ERA,FIP,xFIP,WAR_y
2011_Cubs,2011,Cubs,2373,6130,148,654,610,69,6.90%,19.60%,0.14400000000000002,0.301,0.256,0.314,0.401,0.314,91,,-17.7,-79.9,29.5,14.3,12909,2,-1,0,-7,9,-6,-32,-1.0,-34,2160,1763,0.816,417,-25.0,3.9,2.6,-4.7,5.9,-11.4,-7.7,-1.2,-3.6,71,91,40,657,162,1434.1,7.68,3.64,1.02,0.301,71.30%,43.00%,10.30%,,4.34,4.11,4.02,11.0
2012_Blue Jays,2012,Blue Jays,2289,6094,198,716,677,123,7.80%,20.50%,0.161,0.281,0.245,0.309,0.40700000000000003,0.311,92,,2.5,-55.6,-14.0,14.3,12993,-5,1,0,-4,16,5,37,12.0,72,2238,1864,0.833,464,-10.0,5.3,10.1,-3.9,-15.1,4.3,-4.6,0.7,3.9,73,89,29,657,162,1443.2,7.12,3.58,1.27,0.29100000000000004,72.00%,46.50%,14.10%,,4.64,4.66,4.3,6.9
2007_Royals,2007,Royals,2294,6140,102,706,660,78,7.00%,17.40%,0.126,0.305,0.261,0.322,0.38799999999999996,0.312,84,,-1.6,-121.5,55.1,14.3,12936,0,-4,-1,7,-2,0,38,,43,2495,2105,0.8440000000000001,385,,,9.3,3.1,63.2,-3.3,72.3,11.4,75.3,69,93,36,610,162,1437.1,6.22,3.26,1.05,0.304,71.00%,41.10%,9.30%,,4.5,4.55,4.61,12.1
2017_Tigers,2017,Tigers,2336,6150,187,735,699,65,8.20%,21.30%,0.166,0.306,0.258,0.324,0.424,0.321,98,87.5,-19.8,-37.8,-29.4,14.2,12783,-12,-3,-3,-9,-12,-12,-16,-3.0,-71,2152,1747,0.812,504,-12.0,-13.1,-14.2,-5.5,9.8,13.1,3.2,-1.6,2.2,64,98,32,672,162,1420.1,7.62,3.41,1.38,0.32,68.70%,39.40%,12.80%,87.9,5.36,4.73,4.87,11.5
2013_Cubs,2013,Cubs,2294,6079,172,602,576,63,7.20%,20.20%,0.154,0.275,0.23800000000000002,0.3,0.392,0.304,90,,-11.9,-78.5,27.3,14.1,13032,-14,5,5,0,-2,-2,0,8.0,-2,2117,1800,0.85,517,-13.0,-21.0,-0.7,0.3,15.8,-5.1,10.3,1.4,16.4,66,96,39,651,162,1448.0,7.36,3.36,0.99,0.27899999999999997,72.80%,42.40%,10.30%,,4.0,4.1,4.13,11.3
2014_Indians,2014,Indians,2391,6222,142,669,644,104,8.10%,19.10%,0.136,0.29600000000000004,0.253,0.317,0.389,0.313,98,,9.9,-2.0,-65.6,14.1,13215,2,-4,4,-5,4,8,-66,-5.0,-55,2211,1785,0.807,443,-27.0,4.0,1.7,-1.6,-52.2,-7.5,-59.6,-7.8,-52.0,85,77,40,735,162,1468.1,8.89,2.84,0.83,0.309,73.20%,46.70%,10.00%,,3.57,3.42,3.36,20.3
2010_Angels,2010,Angels,2236,6089,155,681,656,104,7.70%,17.60%,0.142,0.281,0.248,0.311,0.39,0.31,94,,-8.8,-54.5,-24.1,14.1,13044,13,-4,-3,-4,3,2,-8,1.0,-4,2317,1920,0.8290000000000001,458,-27.0,-0.4,11.9,-2.6,-3.1,-7.1,-0.9,1.6,-11.6,80,82,39,572,162,1449.1,7.02,3.51,0.92,0.292,72.90%,42.60%,8.50%,,4.04,4.11,4.24,13.5
2017_White Sox,2017,White Sox,2289,6059,186,706,670,71,6.60%,23.10%,0.161,0.309,0.256,0.314,0.41700000000000004,0.313,95,87.0,-1.9,-36.4,-29.2,14.1,12795,-5,-1,-6,5,4,-10,-5,17.0,-8,2051,1669,0.8140000000000001,623,-17.0,-0.4,7.4,0.7,1.5,-17.2,-7.5,0.2,-21.5,67,95,25,682,162,1421.2,7.55,4.0,1.53,0.281,72.40%,41.90%,14.70%,87.9,4.78,5.17,5.01,4.4
2007_Twins,2007,Twins,2259,6161,118,718,671,112,8.30%,13.60%,0.127,0.29100000000000004,0.264,0.33,0.391,0.317,91,,2.6,-68.9,-0.4,14.1,12930,0,3,-2,0,2,9,10,,27,2453,2004,0.8170000000000001,358,,,-4.2,-3.9,26.1,-0.7,17.3,1.2,21.3,79,83,38,600,162,1436.2,6.85,2.63,1.16,0.301,72.90%,42.90%,10.60%,,4.18,4.37,4.22,13.7
2020_White Sox,2020,White Sox,889,2267,96,306,294,20,7.90%,25.20%,0.192,0.314,0.261,0.326,0.45299999999999996,0.33399999999999996,114,88.7,-0.5,38.2,2.5,13.8,4743,10,1,2,1,1,-7,18,-5.0,23,667,534,0.8009999999999999,251,,6.3,0.6,-0.4,5.1,-3.0,2.2,1.2,7.2,35,25,13,284,60,527.0,8.93,3.71,1.21,0.26899999999999996,75.10%,44.20%,14.50%,88.1,3.81,4.32,4.36,6.0
2008_Padres,2008,Padres,2343,6244,154,637,615,36,8.30%,20.20%,0.14,0.294,0.25,0.317,0.39,0.311,92,,-4.2,-63.8,2.6,13.8,13125,0,-1,-1,-1,-10,-4,11,,-15,2274,1905,0.838,434,,-5.4,-13.9,-1.2,-22.8,13.1,-24.8,-6.0,-41.0,63,99,30,653,162,1458.1,6.79,3.46,1.02,0.294,70.90%,42.40%,10.10%,,4.41,4.33,4.33,12.7
2008_Reds,2008,Reds,2392,6188,187,704,677,85,9.00%,18.20%,0.161,0.278,0.247,0.321,0.408,0.319,87,,1.1,-103.4,43.7,13.8,12981,0,0,-2,-3,4,-1,-21,,-29,2223,1827,0.8220000000000001,410,,38.8,1.0,0.6,-26.6,-7.3,-32.3,-4.1,-32.2,74,88,34,669,162,1442.1,7.66,3.48,1.25,0.312,72.50%,42.70%,12.70%,,4.55,4.54,4.18,9.1
2012_Dodgers,2012,Dodgers,2356,6091,116,637,607,104,7.90%,19.00%,0.122,0.298,0.252,0.317,0.374,0.302,90,,-8.6,-81.8,28.9,13.8,13047,-12,2,0,-8,5,2,3,1.0,-6,2107,1795,0.852,393,-16.0,-11.8,4.9,-5.2,5.7,1.5,6.9,1.5,11.3,86,76,40,668,162,1449.2,7.92,3.35,0.76,0.28300000000000003,74.80%,45.50%,8.90%,,3.35,3.64,3.93,20.8
2010_Cubs,2010,Cubs,2307,6140,149,685,658,55,7.80%,20.10%,0.145,0.304,0.257,0.32,0.401,0.318,90,,-10.3,-82.0,29.0,13.8,12930,-4,1,-6,-2,-1,-15,-10,2.0,-46,2191,1783,0.8140000000000001,425,-18.0,-0.3,2.0,-0.7,14.9,-22.1,-5.8,-0.5,-10.5,75,87,40,644,162,1436.2,7.94,3.79,0.96,0.298,70.40%,43.30%,9.50%,,4.24,4.11,4.08,13.8
2006_Cubs,2006,Cubs,2399,6147,166,716,677,121,6.40%,15.10%,0.154,0.294,0.268,0.319,0.42200000000000004,0.32,84,,-1.0,-128.9,65.3,13.7,12951,0,0,-4,-6,-7,-7,13,,-16,2223,1862,0.838,337,,,-11.3,-1.9,47.2,-2.8,31.2,2.1,22.2,66,96,29,704,162,1439.0,7.82,4.3,1.31,0.28600000000000003,70.90%,41.60%,12.80%,,4.74,4.88,4.58,10.4
2011_Marlins,2011,Marlins,2348,6232,149,625,596,95,8.70%,20.00%,0.142,0.29100000000000004,0.247,0.318,0.38799999999999996,0.311,92,,2.1,-55.8,-3.7,13.7,13137,-16,0,-3,-1,6,-11,-42,1.0,-69,2222,1835,0.826,460,-1.0,-18.1,1.8,0.0,-12.9,-2.9,-14.0,-1.5,-19.2,72,90,40,670,162,1459.2,7.51,3.08,0.92,0.292,71.50%,44.60%,9.60%,,3.95,3.79,3.8,15.3
2017_Rockies,2017,Rockies,2374,6201,192,824,793,59,8.40%,22.70%,0.171,0.332,0.273,0.33799999999999997,0.444,0.332,88,86.8,-6.4,-105.8,39.9,13.7,12939,-27,-2,2,4,-14,8,18,-8.0,-1,2118,1690,0.7979999999999999,541,23.0,-9.6,-12.7,4.4,2.6,14.2,8.5,-0.8,14.5,87,75,47,711,162,1437.2,7.95,3.33,1.19,0.305,72.20%,48.50%,14.20%,86.9,4.51,4.32,4.26,18.6
2014_Astros,2014,Astros,2229,6055,163,629,596,122,8.20%,23.80%,0.141,0.298,0.242,0.309,0.38299999999999995,0.308,98,,3.6,-8.4,-57.9,13.7,12948,9,-3,-3,2,-1,7,-6,14.0,6,2166,1712,0.79,643,-25.0,9.7,-11.6,0.2,-21.6,-16.1,-49.2,-9.2,-39.7,70,92,31,600,162,1438.2,7.11,3.03,0.87,0.299,70.30%,46.40%,9.60%,,4.14,3.93,3.91,9.9
2013_Rockies,2013,Rockies,2330,6152,159,706,673,112,6.90%,19.60%,0.149,0.317,0.27,0.32299999999999995,0.418,0.324,87,,17.4,-72.9,15.1,13.7,12924,-16,1,-3,2,-12,0,-10,-4.0,-34,2279,1907,0.8370000000000001,494,28.0,-11.0,0.5,0.1,-11.5,10.0,-1.0,0.0,-3.4,74,88,35,665,162,1436.0,6.67,3.24,0.85,0.314,70.20%,47.40%,10.00%,,4.44,3.96,4.02,16.4
2006_Rockies,2006,Rockies,2306,6348,157,813,761,85,8.80%,17.50%,0.163,0.31,0.27,0.341,0.433,0.33299999999999996,87,,-2.7,-111.8,39.3,13.5,13026,0,-1,4,10,10,5,-5,,23,2501,2059,0.823,390,,,14.8,8.8,-44.1,10.2,-10.3,1.8,-5.3,76,86,34,661,162,1447.1,5.92,3.44,0.96,0.304,69.50%,45.70%,9.60%,,4.66,4.51,4.68,17.3
2010_Rockies,2010,Rockies,2379,6265,173,770,741,99,9.30%,20.30%,0.162,0.31,0.263,0.336,0.425,0.33299999999999996,90,,9.3,-62.4,2.5,13.4,12978,-7,2,9,4,-12,-2,18,3.0,28,2266,1864,0.823,387,22.0,-6.2,-8.1,5.5,-28.5,0.5,-30.6,-5.2,-22.0,83,79,35,675,162,1442.0,7.7,3.28,0.87,0.302,70.80%,46.50%,9.60%,,4.14,3.83,3.8,21.6
2019_Padres,2019,Padres,2413,6019,219,682,652,70,8.40%,26.30%,0.172,0.293,0.23800000000000002,0.308,0.41,0.305,88,88.9,-11.1,-110.0,52.5,13.4,12888,25,5,0,-4,-2,-9,4,8.0,17,1945,1550,0.797,583,,15.7,-8.1,-2.0,14.8,-1.5,3.2,-1.6,3.2,70,92,47,705,162,1432.0,9.27,2.91,1.35,0.299,70.00%,43.00%,14.80%,88.5,4.63,4.22,4.29,15.6
2011_Astros,2011,Astros,2377,6150,95,615,579,118,6.50%,18.90%,0.11599999999999999,0.308,0.258,0.311,0.374,0.301,88,,-0.6,-88.9,28.3,13.3,12915,2,1,-2,-3,7,18,-5,0.0,12,2208,1828,0.828,450,-26.0,6.6,1.0,1.3,-11.7,-3.0,-12.4,-1.4,-14.3,56,106,25,665,162,1435.0,7.47,3.51,1.18,0.301,70.80%,43.20%,12.00%,,4.51,4.35,4.02,5.6
2014_White Sox,2014,White Sox,2285,6077,155,660,625,85,6.90%,22.40%,0.146,0.306,0.253,0.31,0.39799999999999996,0.312,98,,-13.1,-23.8,-46.4,13.3,12969,3,4,-1,8,-3,3,-48,-5.0,-45,2320,1847,0.7959999999999999,531,-24.0,1.7,-2.3,7.6,-28.2,-2.6,-25.6,-2.8,-34.4,73,89,36,615,162,1441.0,7.2,3.48,0.87,0.306,70.40%,46.10%,9.40%,,4.3,4.1,4.11,10.7
2010_Dodgers,2010,Dodgers,2310,6140,120,667,621,92,8.70%,19.30%,0.127,0.299,0.252,0.322,0.379,0.309,92,,1.3,-60.9,3.4,13.3,12975,4,0,2,-7,-12,-5,-39,3.0,-58,2197,1840,0.838,372,-10.0,2.3,-8.1,-5.8,-19.4,-2.7,-36.1,-7.2,-33.8,80,82,41,637,162,1441.2,7.95,3.36,0.84,0.287,70.90%,44.60%,8.60%,,4.01,3.76,3.87,16.8
2018_Blue Jays,2018,Blue Jays,2435,6076,217,709,680,47,8.20%,22.80%,0.183,0.28600000000000003,0.244,0.312,0.42700000000000005,0.319,101,89.2,-27.1,-22.7,-49.7,13.2,12903,15,0,-1,-1,-2,-4,-84,8.0,-87,2024,1632,0.8059999999999999,583,-26.0,15.3,-4.8,1.3,-46.8,2.6,-47.6,-6.4,-23.9,73,89,39,752,162,1433.2,8.15,3.46,1.31,0.306,70.00%,42.50%,12.70%,88.5,4.85,4.53,4.54,8.8
2007_Nationals,2007,Nationals,2528,6201,123,673,646,69,8.50%,18.20%,0.134,0.3,0.256,0.325,0.39,0.315,88,,-10.8,-108.8,39.1,13.2,13020,0,-4,1,3,-9,-3,-7,,-14,2492,2049,0.8220000000000001,383,,,-8.3,4.0,21.1,-10.4,6.3,0.0,11.3,73,89,46,750,162,1446.2,5.79,3.61,1.16,0.28600000000000003,72.00%,39.70%,9.60%,,4.58,4.92,4.93,4.4
2014_Diamondbacks,2014,Diamondbacks,2274,6089,118,615,573,86,6.50%,19.10%,0.127,0.293,0.248,0.302,0.376,0.3,83,,1.5,-113.1,47.5,13.0,12999,19,-1,-3,1,8,-1,3,-2.0,17,2152,1764,0.82,484,22.0,20.5,9.8,0.5,-18.2,4.0,-4.0,1.2,-4.7,64,98,35,650,162,1444.1,7.96,2.92,0.96,0.312,70.30%,46.10%,11.10%,,4.26,3.83,3.63,8.2
2020_Padres,2020,Padres,913,2231,95,325,312,55,9.10%,21.50%,0.209,0.29100000000000004,0.257,0.33299999999999996,0.466,0.341,115,89.8,2.1,44.7,7.4,12.9,4683,2,-3,1,-3,-2,-4,17,-4.0,3,615,510,0.8290000000000001,225,,-0.4,-0.8,-1.2,1.6,14.6,14.2,3.6,16.2,37,23,13,278,60,520.1,9.77,2.94,1.21,0.29,74.00%,42.50%,14.10%,88.5,3.87,3.88,3.97,8.1
2014_Braves,2014,Braves,2252,6064,123,573,545,95,7.80%,22.60%,0.11900000000000001,0.298,0.24100000000000002,0.305,0.36,0.29600000000000004,86,,-4.4,-99.2,32.7,12.8,13095,-9,1,-2,4,0,-8,1,-5.0,-14,2157,1738,0.8059999999999999,498,-6.0,-18.7,-1.4,6.5,19.8,-0.6,24.2,3.6,19.1,79,83,54,634,162,1455.0,8.05,2.92,0.75,0.3,75.00%,42.70%,8.30%,,3.38,3.47,3.63,18.6
2009_Mets,2009,Mets,2377,6159,95,671,631,122,8.50%,15.10%,0.124,0.307,0.27,0.335,0.39399999999999996,0.32,94,,-5.4,-47.9,-16.8,12.8,12834,0,-1,0,-4,-2,4,10,,14,2237,1867,0.835,432,-27.0,-17.7,-2.9,-4.4,-20.2,-7.2,-34.7,-5.5,-29.8,70,92,39,673,162,1426.0,6.51,3.89,1.0,0.292,71.80%,42.50%,9.10%,,4.46,4.5,4.66,10.4
2012_Royals,2012,Royals,2249,6149,131,676,643,132,6.60%,16.80%,0.135,0.302,0.265,0.317,0.4,0.311,94,,-7.4,-50.7,-35.7,12.7,13062,-14,1,6,3,14,11,-25,-3.0,-3,2234,1827,0.818,442,16.0,-15.6,16.6,5.1,-31.3,-1.4,-11.0,1.4,0.9,72,90,44,662,162,1451.1,7.3,3.36,1.01,0.311,72.40%,43.20%,10.50%,,4.3,4.18,4.29,15.1
2009_Astros,2009,Astros,2340,6040,142,643,616,113,7.40%,16.40%,0.14,0.293,0.26,0.319,0.4,0.315,89,,-18.0,-98.7,37.0,12.7,12870,0,0,2,4,11,12,-33,,4,2276,1861,0.818,438,3.0,1.0,12.7,2.7,-28.8,9.1,-4.3,1.6,5.5,74,88,39,659,162,1430.0,7.2,3.44,1.11,0.311,72.00%,45.60%,11.50%,,4.54,4.35,4.16,11.6
2016_Brewers,2016,Brewers,2342,6061,194,671,641,181,9.90%,25.50%,0.163,0.304,0.244,0.322,0.40700000000000003,0.315,92,88.6,5.2,-55.0,-9.3,12.7,12909,4,-5,5,-3,1,-4,-3,34.0,24,2084,1675,0.804,609,-15.0,4.8,0.2,-3.1,-28.9,-19.6,-51.4,-7.8,-42.4,73,89,46,675,162,1434.1,7.37,3.34,1.12,0.3,73.10%,46.00%,12.40%,88.1,4.1,4.37,4.42,11.1
2015_Brewers,2015,Brewers,2377,6024,145,655,624,84,6.80%,21.60%,0.142,0.303,0.251,0.307,0.39299999999999996,0.304,87,88.0,1.5,-88.1,20.7,12.6,12915,9,2,3,-3,-7,-15,-6,-13.0,-35,2174,1782,0.82,463,-5.0,9.9,-12.3,-4.8,-4.2,-2.3,-23.5,-5.8,-20.5,68,94,40,658,162,1435.0,7.9,3.24,1.1,0.303,72.10%,46.10%,12.70%,87.9,4.28,4.17,4.0,9.9
2012_Twins,2012,Twins,2271,6209,131,701,666,135,8.10%,17.20%,0.13,0.298,0.26,0.325,0.39,0.313,95,,0.7,-32.4,-57.5,12.6,12948,-21,-4,-4,6,-5,0,38,1.0,15,2416,2006,0.83,495,-15.0,-22.5,-5.0,6.7,-8.6,-5.3,-12.2,-1.6,-20.3,66,96,35,661,162,1438.2,5.9,2.91,1.24,0.294,68.80%,45.70%,12.70%,,4.77,4.66,4.46,5.9
2020_Dodgers,2020,Dodgers,921,2316,118,349,327,29,9.80%,20.30%,0.22699999999999998,0.276,0.256,0.33799999999999997,0.483,0.35,122,90.0,-5.1,60.8,-15.3,12.6,4848,3,1,0,1,-3,-1,27,4.0,29,649,525,0.809,330,,-1.4,-3.8,-2.2,9.4,-9.8,-6.4,-4.7,-7.4,43,17,15,309,60,538.2,8.64,2.42,1.1,0.252,75.80%,46.30%,13.20%,87.7,3.02,3.79,3.99,8.3
2007_Pirates,2007,Pirates,2304,6214,148,724,694,68,7.50%,18.30%,0.149,0.303,0.263,0.325,0.41100000000000003,0.322,90,,-10.4,-94.3,16.8,12.5,13029,0,2,-2,8,1,4,-38,,-24,2502,2022,0.8079999999999999,366,,,1.2,3.4,-33.6,11.0,-18.0,-1.9,-21.0,68,94,32,657,162,1447.2,6.2,3.22,1.08,0.315,69.50%,44.10%,10.00%,,4.94,4.66,4.6,10.9
2007_Astros,2007,Astros,2409,6324,167,723,700,65,8.60%,16.50%,0.152,0.29100000000000004,0.26,0.33,0.41200000000000003,0.325,92,,-17.9,-86.9,5.3,12.4,13182,0,2,-6,-9,-5,-2,-25,,-40,2468,2001,0.8109999999999999,400,,,-1.7,-5.2,-11.9,-5.2,-24.1,-3.9,-27.1,73,89,38,638,162,1464.2,6.81,3.13,1.27,0.3,71.70%,44.00%,11.50%,,4.7,4.73,4.44,11.8
2016_Twins,2016,Twins,2290,6245,200,722,690,91,8.20%,22.80%,0.171,0.3,0.251,0.316,0.42100000000000004,0.317,95,88.5,7.8,-28.3,-65.9,12.4,12987,-15,-5,-3,-2,-5,-2,-55,22.0,-57,2221,1776,0.8,546,-34.0,-17.6,-5.1,2.8,-15.5,-13.1,-30.9,-4.2,-32.9,59,103,26,695,162,1443.0,7.43,2.99,1.38,0.319,68.30%,43.00%,13.90%,89.5,5.09,4.57,4.42,10.7
2011_Orioles,2011,Orioles,2262,6156,191,708,684,81,7.30%,18.20%,0.156,0.28800000000000003,0.257,0.316,0.413,0.32,96,,-11.3,-38.8,-48.9,12.3,13020,1,8,5,1,2,19,-35,3.0,1,2365,1946,0.823,449,7.0,14.1,5.4,4.1,-66.8,-2.8,-60.1,-6.4,-47.5,69,93,32,640,162,1446.2,6.49,3.33,1.31,0.302,69.50%,43.10%,12.10%,,4.92,4.67,4.29,4.9
2018_Phillies,2018,Phillies,2474,6136,186,677,653,69,9.50%,24.80%,0.158,0.289,0.23399999999999999,0.314,0.39299999999999996,0.307,90,88.1,2.9,-71.8,-3.1,12.2,13011,-5,3,1,4,-8,-10,-99,-7.0,-118,1914,1537,0.8029999999999999,543,-34.0,6.4,-7.1,2.0,-29.8,-10.7,-45.6,-8.0,-45.6,80,82,44,758,162,1445.2,9.12,3.11,1.06,0.303,71.00%,45.40%,12.40%,88.0,4.15,3.83,3.87,19.2
2015_Twins,2015,Twins,2311,6017,156,696,661,70,7.30%,21.00%,0.152,0.292,0.247,0.305,0.39899999999999997,0.305,89,88.1,-5.5,-80.7,-2.1,12.1,12987,-16,4,-3,-7,15,6,-30,-2.0,-38,2340,1932,0.826,472,-16.0,-13.7,19.4,-1.2,5.3,6.5,30.0,6.4,23.0,83,79,45,682,162,1443.0,6.52,2.58,1.02,0.3,72.80%,44.00%,10.40%,88.7,4.07,4.1,4.23,16.0
2016_Reds,2016,Reds,2287,6094,164,716,678,139,7.40%,21.10%,0.152,0.303,0.256,0.316,0.408,0.311,89,86.8,-4.3,-89.7,18.6,12.1,12978,-16,-6,3,-3,1,10,-22,14.0,-14,2151,1779,0.8270000000000001,486,5.0,-19.8,-0.8,-6.8,14.1,-5.3,1.2,-0.5,6.2,68,94,28,646,162,1442.0,7.75,3.97,1.61,0.29,72.80%,41.60%,15.90%,88.3,4.91,5.24,4.79,1.0
2018_Royals,2018,Royals,2184,6063,155,638,606,117,7.00%,21.60%,0.146,0.293,0.245,0.305,0.392,0.303,88,88.2,-7.4,-97.4,11.6,11.8,12888,-10,-1,5,-6,1,-5,6,25.0,13,2137,1706,0.7979999999999999,624,-1.0,-13.5,4.9,-4.3,26.2,7.7,34.5,4.7,42.5,58,104,33,645,162,1432.0,7.27,3.45,1.29,0.309,70.60%,43.10%,13.00%,89.2,4.95,4.66,4.63,6.4
2016_Royals,2016,Royals,2244,6052,147,675,640,121,6.30%,20.20%,0.139,0.309,0.261,0.312,0.4,0.307,89,88.4,-4.3,-83.8,-9.8,11.8,12960,-12,1,4,-3,8,5,2,-4.0,10,2172,1760,0.81,510,38.0,-19.1,3.7,-3.0,11.3,9.2,21.2,2.9,32.2,81,81,41,634,162,1440.0,8.04,3.23,1.29,0.298,75.40%,44.30%,13.40%,88.9,4.21,4.42,4.33,12.1
2011_Rockies,2011,Rockies,2348,6275,163,735,697,118,8.80%,19.10%,0.152,0.3,0.258,0.32899999999999996,0.41,0.324,88,,-1.8,-92.2,12.7,11.7,13029,-12,4,6,2,-7,-6,31,2.0,23,2223,1858,0.836,458,25.0,-12.9,-3.0,4.2,-18.9,9.9,-7.8,-1.3,-5.8,73,89,41,679,162,1447.2,6.95,3.25,1.09,0.298,70.60%,46.10%,11.60%,,4.44,4.24,3.98,13.6
2014_Padres,2014,Padres,2362,5905,109,535,500,91,7.90%,21.90%,0.115,0.27699999999999997,0.226,0.292,0.342,0.28300000000000003,81,,-6.2,-129.0,56.9,11.7,12948,18,0,1,-10,-9,-6,50,4.0,42,2152,1775,0.825,487,-30.0,33.4,-7.1,-9.0,14.2,-2.8,-4.8,-3.0,-7.8,77,85,41,643,162,1438.2,8.03,2.89,0.73,0.289,74.90%,45.20%,8.60%,,3.27,3.46,3.57,12.2
2011_White Sox,2011,White Sox,2206,6159,154,654,625,81,7.70%,16.10%,0.136,0.28,0.252,0.319,0.38799999999999996,0.312,90,,-9.9,-79.7,-13.9,11.7,13140,9,-1,-2,3,-12,-4,9,-3.0,-8,2246,1879,0.8370000000000001,437,-19.0,12.1,-12.0,2.9,-8.0,11.1,-6.0,-2.6,-13.5,79,83,42,572,162,1460.0,7.52,2.71,0.91,0.303,71.30%,44.20%,9.40%,,4.1,3.66,3.69,23.2
2009_Orioles,2009,Orioles,2281,6233,160,741,708,76,8.30%,16.30%,0.147,0.3,0.268,0.332,0.415,0.32799999999999996,93,,-20.1,-74.0,-28.1,11.6,12861,0,-1,-7,1,16,21,-40,,-9,2458,2038,0.8290000000000001,440,4.0,9.1,15.4,0.1,-43.0,4.5,-23.0,-0.4,-6.2,64,98,31,646,162,1429.0,5.88,3.44,1.37,0.307,70.30%,41.70%,11.60%,,5.16,5.03,4.78,6.8
2014_Rangers,2014,Rangers,2264,6026,111,637,597,105,6.90%,19.30%,0.11900000000000001,0.305,0.256,0.314,0.375,0.305,90,,-1.8,-67.1,-17.0,11.6,12837,-7,-1,1,3,5,-8,-46,8.0,-43,2215,1791,0.809,502,15.0,-10.4,5.0,4.2,3.5,-1.8,10.9,2.4,10.3,67,95,33,638,162,1426.1,7.0,3.19,1.01,0.31,70.40%,39.50%,9.30%,,4.49,4.22,4.26,9.3
2014_Phillies,2014,Phillies,2282,6198,125,619,584,109,7.10%,21.10%,0.121,0.292,0.242,0.302,0.363,0.295,86,,10.6,-85.8,4.2,11.6,13215,-12,5,4,-5,1,-9,-27,8.0,-33,2306,1916,0.831,459,-23.0,-11.0,-6.8,-9.2,-18.3,7.0,-27.3,-5.6,-19.5,73,89,40,623,162,1468.1,7.69,3.19,0.82,0.295,72.20%,46.40%,9.40%,,3.81,3.81,3.83,16.6
2019_Blue Jays,2019,Blue Jays,2354,6091,247,726,697,51,8.40%,24.90%,0.192,0.28,0.23600000000000002,0.305,0.428,0.31,92,88.7,-7.0,-71.7,-25.7,11.5,12963,12,5,3,-3,-2,-3,-35,24.0,0,1966,1563,0.795,618,,12.0,-3.4,-4.2,-20.8,3.5,-24.9,-4.1,-16.9,67,95,33,753,162,1440.1,8.32,3.77,1.42,0.3,71.80%,43.10%,14.90%,88.9,4.79,4.82,4.88,9.1
2018_Rangers,2018,Rangers,2300,6163,194,737,696,74,9.00%,24.10%,0.16399999999999998,0.292,0.24,0.318,0.40399999999999997,0.315,89,88.2,7.2,-77.7,-15.1,11.4,12879,-17,-3,-2,1,-1,-3,22,7.0,3,2180,1783,0.818,557,-10.0,-23.8,8.4,2.0,12.7,2.6,25.6,4.0,20.6,67,95,42,668,162,1431.0,7.05,3.09,1.4,0.299,69.60%,43.00%,14.10%,88.9,4.92,4.79,4.59,10.8
2015_Athletics,2015,Athletics,2349,6171,146,694,661,78,7.70%,18.10%,0.14400000000000002,0.28800000000000003,0.251,0.312,0.395,0.308,95,87.3,-1.0,-34.4,-60.7,11.3,13002,-16,6,2,-2,-4,-17,6,4.0,-13,2187,1785,0.816,556,-13.0,-14.5,-10.0,0.6,-4.8,-18.7,-32.8,-5.9,-26.8,68,94,28,649,162,1444.2,7.34,2.95,1.07,0.289,71.00%,45.00%,11.40%,88.4,4.16,4.13,4.13,13.0
2017_Orioles,2017,Orioles,2351,6140,232,743,713,32,6.40%,23.00%,0.175,0.306,0.26,0.312,0.435,0.318,95,88.2,-14.9,-51.3,-44.9,11.3,12969,-6,-3,0,-1,-5,6,0,-3.0,-8,2106,1684,0.8,557,-23.0,-0.3,-13.2,-0.8,-21.5,5.6,-29.9,-6.2,-29.9,75,87,35,654,162,1441.0,7.7,3.62,1.51,0.302,72.20%,44.60%,15.40%,88.0,4.97,4.96,4.72,8.6
2012_Cubs,2012,Cubs,2341,5967,137,613,570,94,7.50%,20.70%,0.138,0.28600000000000003,0.24,0.302,0.37799999999999995,0.297,81,,-6.0,-138.7,65.7,11.3,12723,-9,1,-3,0,-10,-9,20,5.0,-8,2148,1773,0.825,466,-9.0,2.3,-5.7,-1.0,34.0,2.0,29.3,2.8,24.8,61,101,28,655,162,1413.2,7.18,3.65,1.11,0.29100000000000004,71.30%,43.20%,11.80%,,4.51,4.46,4.39,4.4
2020_Braves,2020,Braves,900,2344,103,348,338,23,10.20%,24.40%,0.215,0.322,0.268,0.349,0.483,0.355,121,89.5,3.7,65.2,-11.8,11.2,4719,0,-3,-2,3,-2,0,3,-2.0,-8,695,570,0.82,218,,5.5,-2.4,0.6,-7.2,1.0,-8.1,-4.5,-12.1,35,25,13,288,60,524.1,8.69,3.78,1.18,0.294,70.60%,43.70%,13.20%,87.7,4.46,4.42,4.63,4.1
